 ID-EVENTO;TITULO;PRECIO;GRATUITO;LARGA-DURACION;DIAS-SEMANA;DIAS-EXCLUIDOS;FECHA;FECHA-FIN;HORA;DESCRIPCION;CONTENT-URL;TITULO-ACTIVIDAD;URL-ACTIVIDAD;URL-INSTALACION;NOMBRE-INSTALACION;ACCESIBILIDAD-INSTALACION;CLASE-VIAL-INSTALACION;NOMBRE-VIA-INSTALACION;NUM-INSTALACION;DISTRITO-INSTALACION;BARRIO-INSTALACION;CODIGO-POSTAL-INSTALACION;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TIPO;AUDIENCIA;
12042069;"14.4";"20 euros";"0";"1";"M,X,J,V,S,D";"";"2024-06-27 00:00:00.0";"2024-07-28 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=aea532617b2e8810VgnVCM1000001d4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6d3ce3914381c010VgnVCM1000000b205a0aRCRD";"Teatro Español";"1,6";"CALLE";"PRINCIPE";"25";"CENTRO";"CORTES";"28012";"440597";"4474036";"40.414828532240946";"-3.700164949543688";"/contenido/actividades/TeatroPerformance";"";
12038390;"20000 especies de abejas (en el Parque de Valdebernardo)";"";"1";"0";"";"";"2023-07-29 00:00:00.0";"2023-07-29 23:59:00.0";"22:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=0554c21e5c3c8810VgnVCM1000001d4a900aRCRD";"Cine de verano en Vicálvaro";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=fe83c21e5c3c8810VgnVCM1000001d4a900aRCRD";"";"";"";"";"";"";"";"";"";"";"";"";"";"/contenido/actividades/Musica";"";
12020015;"20000 especies de abejas (Estibaliz Urresola, 2023)";"";"1";"0";"";"";"2023-07-29 00:00:00.0";"2023-07-29 23:59:00.0";"22:00";"CINE DE VERANO";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=769f3f292ec48810VgnVCM1000001d4a900aRCRD";"Noches de Valdebernardo";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=6f28c4b4f8c48810VgnVCM1000001d4a900aRCRD";"";"";"";"";"";"";"";"";"";"";"";"";"";"/contenido/actividades/Musica";"";
12060008;"2001: Una odisea del espacio";"";"0";"0";"";"";"2023-09-17 00:00:00.0";"2023-09-17 23:59:00.0";"";"Hace millones de años, antes de la aparición del 'homo sapiens', unos primates descubren un monolito que los conduce a un estadio de inteligencia superior. Millones de años después, otro monolito, enterrado en una luna, despierta el interés de los científicos. Por último, durante una misión de la NASA, HAL 9000, una máquina dotada de inteligencia artificial, se encarga de controlar todos los sistemas de una nave espacial tripulada.   ";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=042acd6fb9869810VgnVCM1000001d4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2dbd1fe44c5ee310VgnVCM2000000c205a0aRCRD";"Cineteca Madrid";"1";"PLAZA";"LEGAZPI";"8";"ARGANZUELA";"CHOPERA";"28045";"440946";"4471422";"40.39130985242181";"-3.6958028442054074";"/contenido/actividades/ProgramacionDestacadaAgendaCultura";"";
12027875;"20.000 Especies de abejas";"";"1";"0";"";"";"2023-08-14 00:00:00.0";"2023-08-14 23:59:00.0";"22:15";"Estíbaliz Urresola, España 2023";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=122882025da78810VgnVCM2000001f4a900aRCRD";"Cine de verano 2023. San Blas - Canillejas. Parque de Canillejas";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=9be60d85dd678810VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=59337b503a71c010VgnVCM1000000b205a0aRCRD";"Auditorio al aire libre. Parque de Canillejas";"0";"CALLE";"NECTAR";"32";"SAN BLAS-CANILLEJAS";"CANILLEJAS";"28022";"448169";"4477063";"40.44260378345522";"-3.6111693057729117";"/contenido/actividades/CineActividadesAudiovisuales";"";
12052831;"3,2,1... ¡Acción! Laboratorio de teatro e improvisación";"";"1";"1";"M";"";"2023-07-04 00:00:00.0";"2023-07-25 23:59:00.0";"18:30";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=4d4bf248f5a29810VgnVCM1000001d4a900aRCRD";"Saca la actriz que llevas dentro. Laboratorio de teatro";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=76f366ca1623f710VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=306b89e2c9e5d010VgnVCM1000000b205a0aRCRD";"Espacio de Igualdad María Zambrano. Chamberí";"1";"CALLE";"ANDRES MELLADO";"44";"CHAMBERI";"GAZTAMBIDE";"28015";"439412";"4476170";"40.433958260960964";"-3.7143358486689415";"/contenido/actividades/CursosTalleres";"/usuario/Mujeres";
12050468;"4x4";"";"0";"1";"M,X,J,V,S,D";"";"2023-12-14 00:00:00.0";"2024-01-14 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=16e9e6b609029810VgnVCM1000001d4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ba663d0b5e71c010VgnVCM1000000b205a0aRCRD";"Fernán Gómez Centro Cultural de la Villa";"1,6";"PLAZA";"COLON";"4";"SALAMANCA";"RECOLETOS";"28001";"441472";"4475155";"40.4249721516942";"-3.689948085098791";"/contenido/actividades/ProgramacionDestacadaAgendaCultura";"/usuario/Familias";
12033938;"A criança";"";"0";"0";"";"";"2023-08-04 00:00:00.0";"2023-08-04 23:59:00.0";"";"A mediados del siglo XVI, cerca de Lisboa, un joven adoptado llamado Bela intenta encontrar su lugar en una familia libre pero atrapada en un mundo donde cada sombra deja traslucir los defectos. Aquí, todo parece conducir al desastre.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c6afafbd7cf98810VgnVCM1000001d4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2dbd1fe44c5ee310VgnVCM2000000c205a0aRCRD";"Cineteca Madrid";"1";"PLAZA";"LEGAZPI";"8";"ARGANZUELA";"CHOPERA";"28045";"440946";"4471422";"40.39130985242181";"-3.6958028442054074";"/contenido/actividades/ProgramacionDestacadaAgendaCultura";"";
12060610;"A por el littering";"";"1";"0";"";"";"2023-10-26 00:00:00.0";"2023-10-26 23:59:00.0";"18:00";"¿Alguna vez has encontrado determinados tipos de residuos en lugares que no te esperabas? ¿Os habéis fijado cuántos residuos hay por la calle? ¿En el campo? ¿En la playa? ¿Cómo han llegado allí? A través de este juego por equipos descubriremos que es el 'littering' y sus consecuencias. Actividad dirigida para niñas y niños de 6 a 9 años.  Necesaria inscripción previa a través de este enlace a partir de septiembre";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c048a2625bd69810VgnVCM1000001d4a900aRCRD";"'Con Erre de...' Talleres infantiles de medioambiente";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=b115495b1c6f8810VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2e403d0b5e71c010VgnVCM1000000b205a0aRCRD";"Biblioteca Pública Municipal San Blas (San Blas-Canillejas)";"1,6";"CALLE";"SAN ROMAN DEL VALLE";"8";"SAN BLAS-CANILLEJAS";"ARCOS";"28037";"447249";"4474586";"40.420231627534996";"-3.6218113860909074";"/contenido/actividades/CursosTalleres";"/usuario/Niños";
12060608;"A por el littering";"";"1";"0";"";"";"2023-10-11 00:00:00.0";"2023-10-11 23:59:00.0";"18:00";"¿Alguna vez has encontrado determinados tipos de residuos en lugares que no te esperabas? ¿Os habéis fijado cuántos residuos hay por la calle? ¿En el campo? ¿En la playa? ¿Cómo han llegado allí? A través de este juego por equipos descubriremos que es el 'littering' y sus consecuencias. Actividad dirigida para niñas y niños de 6 a 9 años.  Necesaria inscripción previa a través de este enlace a partir de septiembre";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1447014d86d69810VgnVCM1000001d4a900aRCRD";"'Con Erre de...' Talleres infantiles de medioambiente";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=b115495b1c6f8810VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=17f879262ef5d010VgnVCM1000000b205a0aRCRD";"Biblioteca Pública Municipal Pío Baroja (Arganzuela)";"1,6";"CALLE";"ARGANDA";"12";"ARGANZUELA";"ACACIAS";"28005";"439967";"4472399";"40.40003652682007";"-3.7074488154950584";"/contenido/actividades/CursosTalleres";"/usuario/Niños";
