,TIPO,NOMBRE,DIRECCION,DESCRIPCION,LATITUD,LONGITUD
17,Salud,Centro de donación de sangre de Cruz Roja Fin de Semana,CALLE FUENCARRAL 120.0,OtrosCentrosMedicos,40.42994145019859,-3.702571998641466
39,Salud,Centro de Salud Adelfas,AVENIDA CIUDAD DE BARCELONA 190.0,CentrosSalud,40.400944749286495,-3.674617401937341
40,Salud,Centro de Salud Alameda,CALLE ALAMEDA 5.0,CentrosSalud,40.4120687197687,-3.6938102503009236
44,Salud,Centro de Salud Andrés Mellado,CALLE ANDRES MELLADO 37.0,CentrosSalud,40.4344298644371,-3.7145172241935964
54,Salud,Centro de Salud Baviera,CALLE PINTOR MORENO CARBONERO 21.0,CentrosSalud,40.43902745468173,-3.6679886143365725
59,Salud,Centro de Salud Cáceres,CALLE CACERES 4.0,CentrosSalud,40.398608115817765,-3.694902512791474
67,Salud,Centro de Salud Castelló,CALLE CASTELLO 63.0,CentrosSalud,40.428686033013825,-3.681335352223554
68,Salud,Centro de Salud Cea Bermúdez,CALLE CEA BERMUDEZ 10.0,CentrosSalud,40.43890945358286,-3.7070969305008963
75,Salud,Centro de Salud Delicias,CALLE DELICIAS 5.0,CentrosSalud,40.40429462103094,-3.6951005207431646
80,Salud,Centro de Salud Eloy Gonzalo,CALLE ELOY GONZALO 24.0,CentrosSalud,40.434135698858555,-3.7014131909582875
81,Salud,Centro de Salud Embajadores,CALLE CARDENAL SOLIS 6.0,CentrosSalud,40.40205374534575,-3.6994413497792995
84,Salud,Centro de Salud Espronceda,CALLE ESPRONCEDA 24.0,CentrosSalud,40.44051007704015,-3.6967416544806664
93,Salud,Centro de Salud Goya,CALLE O'DONNELL 55.0,CentrosSalud,40.42148265233658,-3.6713915718472316
95,Salud,Centro de Salud Guzmán el Bueno,CALLE GUZMAN EL BUENO 11.0,CentrosSalud,40.43129443933235,-3.7135866205752417
96,Salud,Centro de Salud Ibiza,CALLE IBIZA 7.0,CentrosSalud,40.41850953601346,-3.6779598246732133
103,Salud,Centro de Salud Justicia,CALLE REGUEROS 3.0,CentrosSalud,40.42447096695069,-3.696740102622589
105,Salud,Centro de Salud Lagasca,CALLE LAGASCA 122.0,CentrosSalud,40.435588838056184,-3.684264045075125
108,Salud,Centro de Salud Las Cortes,CARRERA SAN JERONIMO 32.0,CentrosSalud,40.41649063167977,-3.69903000832046
109,Salud,Centro de Salud Lavapiés,CALLE EMBAJADORES 41.0,CentrosSalud,40.407604153998726,-3.7038923886731654
110,Salud,Centro de Salud Legazpi,CALLE ANTRACITA 2.0,CentrosSalud,40.38966356035265,-3.6916535167951596
111,Salud,Centro de Salud Linneo,CALLE LINNEO 3.0,CentrosSalud,40.413316337845295,-3.72042086185345
112,Salud,Centro de Salud Londres,CALLE LONDRES 55.0,CentrosSalud,40.431870046697036,-3.665928759518183
122,Salud,Centro de Salud Martín de Vargas,CALLE MARTIN DE VARGAS 15.0,CentrosSalud,40.40308281017418,-3.701945616790272
149,Salud,Centro de Salud Montesa,CALLE MONTESA 38.0,CentrosSalud,40.43066819867429,-3.672008133361961
155,Salud,Centro de Salud Pacífico,CALLE REYES MAGOS 21.0,CentrosSalud,40.4079773332344,-3.6770349225146175
156,Salud,Centro de Salud Palma Norte,CALLE PALMA 59.0,CentrosSalud,40.42662792566756,-3.7073744135613427
157,Salud,Centro de Salud Párroco Julio Morate,CALLE PARROCO JULIO MORATE 3.0,CentrosSalud,40.397204954783675,-3.6989230092402368
159,Salud,Centro de Salud Paseo Imperial,CALLE TOLEDO 180.0,CentrosSalud,40.4016064809333,-3.7143483544427744
170,Salud,Centro de Salud Reina Victoria,AVENIDA REINA VICTORIA 21.0,CentrosSalud,40.446863848770235,-3.707614240882921
177,Salud,Centro de Salud Segovia,CALLE SEGOVIA 4.0,CentrosSalud,40.41368428539513,-3.7098728787430666
199,Salud,Clínica Doctor León,PLAZA MARIANO DE CAVIA 3.0,HospitalesClinicasSanatorios,40.40769193363238,-3.6782326399032015
222,Salud,Complejo Hospitalario Ruber Juan Bravo,CALLE JUAN BRAVO 39.0,HospitalesClinicasSanatorios,40.43270280839362,-3.677762569951613
224,Salud,Hospital Beata María Ana de Hermanas Hospitalarias,CALLE DOCTOR ESQUERDO 83.0,HospitalesClinicasSanatorios,40.4180689335903,-3.6689999598497347
231,Salud,Hospital de la VOT de San Francisco de Asís,CALLE SAN BERNABE 13.0,HospitalesClinicasSanatorios,40.409058230276706,-3.713925661809192
233,Salud,Hospital General Universitario Gregorio Marañón,CALLE DOCTOR ESQUERDO 46.0,HospitalesClinicasSanatorios,40.4193606775175,-3.6694000902908397
238,Salud,Hospital Infantil Universitario Niño Jesús,AVENIDA MENENDEZ PELAYO 65.0,HospitalesClinicasSanatorios,40.413865110086746,-3.67697406298161
239,Salud,Hospital La Luz,CALLE MAESTRO ANGEL LLORCA 8.0,HospitalesClinicasSanatorios,40.44410989913754,-3.7139859119244765
240,Salud,Hospital La Milagrosa,CALLE MODESTO LAFUENTE 14.0,HospitalesClinicasSanatorios,40.437028130909475,-3.696272054069133
245,Salud,Hospital Universitario de  La Princesa,CALLE DIEGO DE LEON 62.0,HospitalesClinicasSanatorios,40.43442359020062,-3.675721186767279
247,Salud,Hospital Universitario HM Madrid,PLAZA CONDE DEL VALLE DE SUCHIL 16.0,HospitalesClinicasSanatorios,40.43133292607883,-3.7068084186767356
251,Salud,Hospital Universitario Nuestra Señora del Rosario,CALLE PRINCIPE DE VERGARA 53.0,HospitalesClinicasSanatorios,40.43203394601812,-3.679778130531607
255,Salud,Hospital Universitario Santa Cristina,CALLE MAESTRO VIVES 3.0,HospitalesClinicasSanatorios,40.42183127056853,-3.6710556654585007
257,Salud,Hospital Viamed Santa Elena,CALLE GRANJA 8.0,HospitalesClinicasSanatorios,40.44573015130515,-3.717103059340107
258,Salud,Hospital Virgen de La Paloma,CALLE LOMA 1.0,HospitalesClinicasSanatorios,40.445343905284574,-3.7159888605862967
