,TIPO,NOMBRE,DIRECCION,DESCRIPCION,LATITUD,LONGITUD
0,Templos,Basílica Jesús de Medinaceli,PLAZA JESUS 2.0,TemplosIglesiasCatolicas,40.41402616561857,-3.6956012747015614
1,Templos,Basílica La Milagrosa,CALLE GARCIA DE PAREDES 45.0,TemplosIglesiasCatolicas,40.43674573228548,-3.695712749431933
2,Templos,Basílica Pontificia de San Miguel,CALLE SAN JUSTO 4.0,MonumentosEdificiosArtisticos,40.41420531493721,-3.709661482525444
3,Templos,Capilla de San Ignacio de los Vascos,CALLE PRINCIPE 31.0,TemplosIglesiasCatolicas,40.414333713557774,-3.700097469703819
4,Templos,Capilla de San Isidro,CALLE AGUILA 1.0,MonumentosEdificiosArtisticos,40.41003472262128,-3.711938408934679
5,Templos,Capilla Nuestra Señora de la Bien Aparecida,CALLE PIO BAROJA 2.0,TemplosIglesiasCatolicas,40.41528491290429,-3.674697191666304
6,Templos,Catedral Santa María la Real de la Almudena,CALLE BAILEN 10.0,MonumentosEdificiosArtisticos,40.4155496711662,-3.713667423315139
7,Templos,Concepción Real de Calatrava,CALLE ALCALA 25.0,MonumentosEdificiosArtisticos,40.41824309027286,-3.698862851069463
8,Templos,Convento de las Comendadoras de Santiago,PLAZA COMENDADORAS 10.0,MonumentosEdificiosArtisticos,40.4273968151307,-3.708949668437218
11,Templos,Ermita Virgen del Puerto,PASEO VIRGEN DEL PUERTO 4.0,MonumentosEdificiosArtisticos,40.41556783900282,-3.721135107165399
13,Templos,Iglesia Catedral de las Fuerzas Armadas,CALLE SACRAMENTO 11.0,MonumentosEdificiosArtisticos,40.414895416742574,-3.712253187182216
16,Templos,Iglesia de la Santísima Trinidad (Trinitarios),CALLE ECHEGARAY 30.0,TemplosIglesiasCatolicas,40.41413682281796,-3.699583659131713
18,Templos,Iglesia de Nuestra Señora de las Maravillas,CALLE DOS DE MAYO 11.0,TemplosIglesiasCatolicas,40.42645802536706,-3.7042148078055055
19,Templos,Iglesia de San Antón,CALLE HORTALEZA 63.0,TemplosIglesiasCatolicas,40.42408121377881,-3.698490642429576
22,Templos,Iglesia del Santo Niño del Remedio,CALLE DONADOS 6.0,TemplosIglesiasCatolicas,40.41808596480543,-3.7082649271629786
23,Templos,Iglesia Esclavas del Sagrado Corazón de Jesús,PASEO GENERAL MARTINEZ CAMPOS 10.0,TemplosIglesiasCatolicas,40.43486534899859,-3.697316278159992
24,Templos,Iglesia Madres Dominicas (Monasterio Santo Domingo el Real),CALLE CLAUDIO COELLO 112.0,TemplosIglesiasCatolicas,40.435518121414,-3.685282358716252
25,Templos,Iglesia Nuestra Señora de la Paz,CALLE DOCTOR ESQUERDO 44.0,TemplosIglesiasCatolicas,40.4205803581753,-3.66930055090613
27,Templos,Iglesia Nuestra Señora de Montserrat,CALLE SAN BERNARDO 79.0,TemplosIglesiasCatolicas,40.42782496214609,-3.706474495078322
