PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;COD-BARRIO;BARRIO;COD-DISTRITO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
3557;"Basílica Jesús de Medinaceli";"";"";"";"Metro: Antón Martín (línea 1), Banco de España (línea 2) y Sevilla (línea 2).   Bus: 001, 10, 14, 27, 34, 37, 45, C03.  Bicimad: Estación 27 (calle Jesús, 1).  Aparcamiento: Cortes (46), plaza de las Cortes.";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a64eef4d7f71c010VgnVCM1000000b205a0aRCRD";"JESUS";"PLAZA";"V";"2";"";"";"";"";"MADRID";"MADRID";"28014";"3";"CORTES";"1";"CENTRO";"440983";"4473943";"40.41402616561857";"-3.6956012747015623";"914 299 375 /  914 296 893";"";"jesusmedinaceli@archimadrid.es";"/contenido/entidadesYorganismos/TemplosIglesiasCatolicas"; 
3394;"Basílica La Milagrosa";"";"";"";"Metro: Alonso Cano (línea 7), Gregorio Marañón (líneas 7 y 10), Iglesia (línea 1).    Bus: 12, 16, 5, 61.    Bicimad: Estaciones 125 (calle Fernández de la Hoz, 29), 246 (calle Santa Engracia, 87), 129 (calle José Abascal, 33), 247 (calle Zurbano, 90).";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=53b313db5b71c010VgnVCM1000000b205a0aRCRD";"GARCIA DE PAREDES";"CALLE";"V";"45";"";"";"";"";"MADRID";"MADRID";"28010";"4";"ALMAGRO";"7";"CHAMBERI";"440994";"4476465";"40.43674573228548";"-3.6957127494319324";"914 473 248 / 914 473 249";"";"parroquiamilagrosa@archimadrid.es";"/contenido/entidadesYorganismos/TemplosIglesiasCatolicas"; 
3371;"Basílica Pontificia de San Miguel";"";"";"";"Metro: Sol (líneas 1, 2 y 3), Tirso de Molina (línea 1), La Latina (línea 5).  Bus: 31, 50, 65, SE712.  Cercanías Renfe: Sol (líneas C3, C4 y C4a).  Bicimad: Estaciones 35 (plaza del Cordón), 9 (plaza de San Miguel, 9).  Aparcamiento: Plaza Mayor (55).";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9c383d232e91f010VgnVCM1000000b205a0aRCRD";"SAN JUSTO";"CALLE";"V";"4";"";"";"";"";"MADRID";"MADRID";"28005";"1";"PALACIO";"1";"CENTRO";"439790";"4473973";"40.41420531493721";"-3.7096614825254437";"915 484 011";"";"info@miguel.es";"/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos"; 
18319;"Capilla de San Ignacio de los Vascos";"";"";"";"Metro: Antón Martín (Línea,1), Sol (líneas 1, 2 y 3).  Bus: 002, M1, SE712, 51.   Cercanías Renfe: Sol (líneas C3, C4 y C4a).  Bicimad: Estación 52 (plaza Santa Ana, 10), 33 (calle Carreteras, 8), 34 (plaza Jacinto Benavente), 28 (calle Alcalá, 27), 56 (plaza del Carmen).  Aparcamiento: Plaza de Santa Ana (77).";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5aff6f065851c010VgnVCM2000000c205a0aRCRD";"PRINCIPE";"CALLE";"V";"31";"";"";"";"";"MADRID";"MADRID";"28012";"3";"CORTES";"1";"CENTRO";"440602";"4473981";"40.414333713557774";"-3.700097469703819";"914 297 236";"";"";"/contenido/entidadesYorganismos/TemplosIglesiasCatolicas"; 
11242837;"Capilla de San Isidro";"";"Día 4 de cada mes (si coincide con un sábado, domingo o festivo se traslada la apertura al primer día laborable) de 10 a 14 horas. El día de apertura de la Capilla se celebra misa a las 13 horas. Cerrada el mes de agosto.";"";"Metro: La Latina (línea 5), Puerta de Toledo (línea 5).  Bus: 60, 148, 3, 002, 17, 18, 23, 35.  Bicimad: Estaciones 38 (carrera de San Francisco, 1), 37 (plaza de San Francisco, 5).  Aparcamiento: La Latina (86) calle de Toledo.";"Descripción monumental: el Oratorio está ubicado en el solar donde, según la tradición, nació y pasó su infancia el patrón de la ciudad de Madrid, San Isidro Labrador.";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=df1bdce835c05710VgnVCM1000001d4a900aRCRD";"AGUILA";"CALLE";"V";"1";"";"";"";"";"MADRID";"MADRID";"28005";"1";"PALACIO";"1";"CENTRO";"439593";"4473511";"40.410034722621276";"-3.711938408934679";"913 650 841 / 913 652 160";"";"info@cementeriodesanisidro.com";"/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos"; 
60210;"Capilla Nuestra Señora de la Bien Aparecida";"";"";"";"Metro: Ibiza (línea 9), Sainz de Baranda (líneas 6 y 9).  Bus: 26, 61, 63, C2, 15, 2, 215.   Bicimad: Estación 71 (calle Doce de Octubre, 28).";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=edf28ed67151c010VgnVCM2000000c205a0aRCRD";"PIO BAROJA";"CALLE";"V";"2";"";"";"";"";"MADRID";"MADRID";"28009";"6";"NIÑO JESUS";"3";"RETIRO";"442758";"4474069";"40.41528491290429";"-3.674697191666304";"915 044 363";"";"";"/contenido/entidadesYorganismos/TemplosIglesiasCatolicas"; 
3361;"Catedral Santa María la Real de la Almudena";"Su construcción comienza a finales del siglo XIX por el Marqués de Cubas, sobre el primer recinto amurallado del Madrid musulmán, y finaliza en el año 1993.";"";"";"Metro: Ópera (líneas 2, 5 y Ramal), Sol (Líneas 1, 2 y 3).  Bus: 148, 3, SE712.  Bicimad: Estaciones 36 (plaza Ramales) y 166 (calle Segovia, 26).  Cercanías Renfe: Sol (líneas C3, C4 y C4a).";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=15647b503a71c010VgnVCM1000000b205a0aRCRD";"BAILEN";"CALLE";"V";"10";"";"";"";"";"MADRID";"MADRID";"28013";"1";"PALACIO";"1";"CENTRO";"439452";"4474125";"40.4155496711662";"-3.7136674233151394";"915 422 200";"";"informacion@catedraldelaalmudena.es";"/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos"; 
3355;"Concepción Real de Calatrava";"";"";"";"Metro: Sevilla (línea 2), Gran Vía (líneas 1 y 5).  Bus: 46, 52, 150, 5, 51, 002, 15, 20, 53, 9, 001, 1, 146, 2, 3, 74, M1.  Bicimad: Estación 28 (calle Alcalá, 27).  Aparcamiento: Sevilla (41) calle Sevilla y calle Alcalá.";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e8013d232e91f010VgnVCM1000000b205a0aRCRD";"ALCALA";"CALLE";"V";"25";"";"";"";"";"MADRID";"MADRID";"28014";"3";"CORTES";"1";"CENTRO";"440710";"4474414";"40.41824309027286";"-3.698862851069463";"915 218 035";"";"iglesia.calatravas@gmail.com";"/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos"; 
3354;"Convento de las Comendadoras de Santiago";"El templo fue construido entre 1667 y 1679 por Manuel del Olmo y José del Olmo. El convento data del siglo XVIII  y es obra de Francisco de Sabatini. Es destacable la iglesia de planta cruciforme con gran cúpula central y cuatro exedras semicirculares, así como la sacristía de planta elíptica construida entre 1745 y 1754 por Francisco Moradillo.";"";"";"Metro: San Bernardo (líneas 2, 4), Ventura Rodríguez (línea 3) Bus: 1, 2, 21, 44, 74, 133, 147, C";"Más información en la página web de Monumenta Madrid";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ee6b13db5b71c010VgnVCM1000000b205a0aRCRD";"COMENDADORAS";"PLAZA";"V";"10";"";"";"";"";"MADRID";"MADRID";"28015";"5";"UNIVERSIDAD";"1";"CENTRO";"439864";"4475437";"40.4273968151307";"-3.708949668437218";"";"";"";"/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos"; 
3687;"Convento de Santa Teresa y San José (Carmelitas Descalzos)";"";"";"";"Metro: Plaza de España (líneas 3 y 10), Príncipe Pio (líneas 6, 10 y Ramal), Ventura Rodríguez (línea 3).  Bus: 138, 25, 39, 46, 62, 75, C2, C1.  Cercanías Renfe: Príncipe Pío (líneas C1, C7 y C10).  Bicimad: Estaciones 116 a y b (calle Princesa, 5), 115 (calle Evaristo San Miguel, 2), 14 (calle Ventura Rodríguez, 2).  Aparcamientos: Plaza de España (53), plaza de Oriente (32).";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a3b4b069a541f010VgnVCM1000000b205a0aRCRD";"ESPAÑA";"PLAZA";"V";"14";"";"";"";"";"MADRID";"MADRID";"28008";"2";"ARGUELLES";"9";"MONCLOA-ARAVACA";"439368";"4474904";"40.422564067683716";"-3.714723722928503";"915 479 105";"";"";"/contenido/entidadesYorganismos/TemplosIglesiasCatolicas"; 
