,TIPO,NOMBRE,DIRECCION,DESCRIPCION,LATITUD,LONGITUD
0,Monumentos,Abogados Laboristas,C Atocha 55,"Elemento conmemorativo, Lápida",40.41291066085913,-3.70001683012674
1,Monumentos,Abstracta I,No disponible,Escultura conceptual o abstracta,40.42174556328786,-3.6622930226849992
2,Monumentos,Abstracta II,No disponible,Escultura conceptual o abstracta,40.4219619708435,-3.6622597814331255
3,Monumentos,Abundancia,CALLE GUZMAN EL BUENO 137,Grupo Escultórico,40.44420091117868,-3.712595448820414
4,Monumentos,Academia de Farmacia,C Farmacia 9,"Elemento conmemorativo, Lápida",40.42396655835703,-3.69971884411894
5,Monumentos,Adhesión de España a la Comunidad Europea,PLAZA PROVINCIA 1,"Elemento conmemorativo, Lápida",40.41471076984459,-3.705871508121933
6,Monumentos,Agustín de Foxá,C Ibiza 1,"Elemento conmemorativo, Lápida",40.418525835938645,-3.6784335956993255
7,Monumentos,Agustín Lara,C Sombrerete 15,Estatua,40.40804163281316,-3.7036670070208766
8,Monumentos,AICO,Pza Colón N/A o N/D,"Elemento conmemorativo, Lápida",40.42473041132888,-3.6895416226062423
9,Monumentos,Al Libro,Pº Recoletos N/A o N/D,Grupo Escultórico,40.42348808542784,-3.690896360408497
10,Monumentos,Al otro lado del muro,Pº Castellana 41,Escultura conceptual o abstracta,40.43308609425179,-3.687304374990959
11,Monumentos,Alberto Aguilera,CALLE MAGDALENA 6,"Elemento conmemorativo, Lápida",40.41236475188858,-3.7028056847304582
12,Monumentos,Alejandro Busuioceanu,C General Pardiñas 32,"Elemento conmemorativo, Lápida",40.42653481671234,-3.678443331935348
13,Monumentos,Alejandro Muñoz Revenga,CALLE MELENDEZ VALDES 1,"Elemento conmemorativo, Lápida",40.432796826299686,-3.709246187769124
14,Monumentos,Alfonso R. Castelao,No disponible,"Elemento conmemorativo, Lápida",40.43550256599663,-3.6606830324377992
15,Monumentos,Alfonso VI,No disponible,Estatua,40.41973554356221,-3.7139260638011327
16,Monumentos,Alfonso VIII,No disponible,Estatua,40.41988883272301,-3.71390410926712
17,Monumentos,Alfonso X El Sabio,PASEO RECOLETOS 20,Estatua,40.42300350744837,-3.690836475609272
18,Monumentos,Alférez Provisional,CALLE FELIPE IV 1,"Elemento conmemorativo, Lápida",40.41534345623286,-3.692451639713872
19,Monumentos,Almudena,C Castelló 77,Escultura conceptual o abstracta,40.43093303716218,-3.681199102845808
20,Monumentos,Alonso I,PLAZA ORIENTE 1,Estatua,40.4176388210189,-3.711628758086704
21,Monumentos,Alonso I El Batallador,Pº República Argentina N/A o N/D,Estatua,40.41673458392933,-3.685806028277646
22,Monumentos,Alonso II,Pza Oriente N/A o N/D,Estatua,40.41771090053895,-3.712077658241268
23,Monumentos,Alonso III,Pza Oriente N/A o N/D,Estatua,40.418792785930165,-3.711947617297519
24,Monumentos,Alonso V,Pza Oriente N/A o N/D,Estatua,40.41882591552657,-3.712419459140926
25,Monumentos,Altar Parque de Roma,C Juan Esplandiú N/A o N/D,"Elemento conmemorativo, Lápida",40.41580670295219,-3.662623751583081
26,Monumentos,Amado Nervo,C Bailén 15,"Elemento conmemorativo, Lápida",40.41983268247336,-3.7127837041201888
27,Monumentos,Amigos,Pza Alfredo Mahou de la Fuente N/A o N/D,Grupo Escultórico,40.43316202971123,-3.685135819634701
28,Monumentos,América,CALLE GUZMAN EL BUENO 133,Escultura conceptual o abstracta,40.44298464158624,-3.7126774084733696
29,Monumentos,Andrés Eloy Blanco,Pº Venezuela N/A o N/D,Estatua,40.41559090108321,-3.68268271082356
30,Monumentos,Andrómaca,PASEO RECOLETOS 1,Estatua,40.4201273588685,-3.693306839089955
31,Monumentos,Antigua Fuente de las Delicias,No disponible,"Fuente, Estanque, Lámina de agua",40.43001266940232,-3.669105800700405
32,Monumentos,Antigua Iglesia y Hospital del Buen Suceso,No disponible,"Elemento conmemorativo, Lápida",40.41676929451718,-3.702532081873442
33,Monumentos,Antigua pastelería del Pozo,C Pozo 8,"Elemento conmemorativo, Lápida",40.41625481659995,-3.7012066011312754
34,Monumentos,"Antonia Mercé, la Argentina",C Ave María 8,"Elemento conmemorativo, Lápida",40.41165634023262,-3.700357414359624
35,Monumentos,Antonio Bienvenida,C Alcalá 231,Grupo Escultórico,40.431574548888406,-3.662271547166129
36,Monumentos,Antonio Bienvenida,C Alcalá 231,"Elemento conmemorativo, Lápida",40.43156128329791,-3.6630141592108862
37,Monumentos,Antonio Cánovas del Castillo,Pza Marina Española N/A o N/D,Estatua,40.42093047357748,-3.711534008918246
38,Monumentos,Antonio Machado,CALLE GENERAL ARRANDO 4,"Elemento conmemorativo, Lápida",40.43162482258305,-3.696805326523154
39,Monumentos,Antonio Maura,C Antonio Maura 18,"Elemento conmemorativo, Lápida",40.4164135338355,-3.6897985288705177
40,Monumentos,Antonio Mingote,Pza Cristino Martos 5,"Elemento conmemorativo, Lápida",40.42536059710678,-3.711910767925478
41,Monumentos,Antonio Paso Cano,C Apodaca 9,"Elemento conmemorativo, Lápida",40.42740529401708,-3.7001670894678127
42,Monumentos,Antonio Zozaya,Pza General Vara del Rey 14,"Elemento conmemorativo, Lápida",40.40965607152118,-3.707797037508429
43,Monumentos,Armando Palacio Valdés,CALLE MALDONADO 25,"Elemento conmemorativo, Lápida",40.433928351058015,-3.6823188457332994
44,Monumentos,Artieda y Labiano,C Navas de Tolosa 10,"Elemento conmemorativo, Lápida",40.419237264967286,-3.707048749464255
45,Monumentos,Ataulfo,Pza Oriente N/A o N/D,Estatua,40.41773451270585,-3.7126319020401
46,Monumentos,Atentado boda real Alfonso XIII,C Mayor 79,Grupo Escultórico,40.41506931751636,-3.71239162265991
47,Monumentos,Atentados 11-M,Pza Puerta del Sol 7,"Elemento conmemorativo, Lápida",40.41657337917506,-3.703638015095079
48,Monumentos,Augusto d'Halmar,CALLE LORETO Y CHICOTE 8,"Elemento conmemorativo, Lápida",40.42164752630175,-3.7041025189132055
49,Monumentos,Ave Fénix,PASEO CASTELLANA 33,Grupo Escultórico,40.432766597945104,-3.6890240827986474
50,Monumentos,Avenida Reyes Católicos,Pza San Francisco el Grande 1,"Elemento conmemorativo, Lápida",40.41031981667346,-3.7141329828387697
51,Monumentos,Azorín,C Zorrilla 21,"Elemento conmemorativo, Lápida",40.4168633343092,-3.6959205654576346
52,Monumentos,Azorín,Gta Azorín N/A o N/D,Estatua,40.4148375086769,-3.716373054740244
53,Monumentos,Baltasar Bachero,C Salitre 34,"Elemento conmemorativo, Lápida",40.40913294250629,-3.6990112646483055
54,Monumentos,Barrendero madrileño,Pza Jacinto Benavente N/A o N/D,Estatua,40.41453753590468,-3.703605020727631
55,Monumentos,Batalla de Lepanto,C Lepanto 2,"Elemento conmemorativo, Lápida",40.41715440847653,-3.71174175449834
56,Monumentos,Beata Maria Ana de Jesús,C Valverde 15,"Elemento conmemorativo, Lápida",40.4214480557125,-3.702026727916268
57,Monumentos,Berenguela,Pº República Argentina N/A o N/D,Estatua,40.41697753391118,-3.6858556431608087
58,Monumentos,Bernardino de Obregón,C Bernardino Obregón 1,"Elemento conmemorativo, Lápida",40.40506034008363,-3.700583665576658
59,Monumentos,Bernardo López García,C Bernardo López Garcia 9,"Elemento conmemorativo, Lápida",40.42639109099532,-3.7098821991409614
