TIPO,NOMBRE,DIRECCION,DESCRIPCION,LATITUD,LONGITUD
PARQUES_Y_JARDINES,Jardines Gregorio Ordóñez,"CALLE PRINCIPE DE VERGARA 68, MADRID, 28006","Jardines en memoria de Gregorio Ordóñez. Este cuidado jardín presenta dos amplias zonas infantiles, para diversión de los pequeños y posee un pequeño estanque en el centro del mismo rodeado de distintas especies de palmeras.",40.43346186779773,-3.6785954778654113
PARQUES_Y_JARDINES,Jardines San Francisco el Grande,"AVENIDA GRAN VIA DE SAN FRANCISCO 25, MADRID, 28005","Este jardín se encuentra en el solar de 4.200 metros cuadrados donde estuvo el antiguo convento de San Francisco, demolido a mediados del siglo XX por encontrarse en ruinas. Hasta 2007 no tuvo ningún uso y fue en ese año cuando el Ayuntamiento de Madrid convirtió el espacio en un jardín temático de dalias, la antigua Dalieda de San Francisco. Posteriormente, en 2016,  se modificó  la composición de las plantaciones y se apostó por los rosales debido a su gran capacidad de adaptación al clima madrileño y a su mayor floración. En la actualidad los Jardines de San Francisco el Grande cuenta con 21 variedades de rosales que alcanzan su máxima esplendor en los meses de mayo y junio. El parque encuentra en una zona denominada &amp;ldquo;Las Vistillas&amp;rdquo; por ser la más alta del Madrid de los Austrias y su mirador se ha convertido en uno de los lugares más transitados para ver puestas de sol en la ciudad. Antecede al mirador el grupo escultórico San Isidro Labrador, obra en la que se representa al patrón de Madrid recostado y a un ángel que posa una mano sobre su cabeza para inducirle a dormir. Esta fue una de las esculturas que realizó Santiago Costa en 1952 para homenajear al arquitecto Juan de Villanueva. Su emplazamiento original fue la fuente de la glorieta de San Vicente, donde estuvo hasta 1995.",40.41002249621306,-3.714419912786956
PARQUES_Y_JARDINES,Jardines de Andrés Saborit,"CALLE RAIMUNDO FERNANDEZ VILLAVERDE 32, MADRID, 28003","Jardines situados en la calle Raimundo Fernández Villaverde, entre las calles Alenza y Alonso Cano. Esta gran zona verde está dotada de áreas infantiles, equipamientos de entrenamiento para mayores y zonas estanciales. Se encuentra rodeada de césped, árboles de sombra y de pequeños grupos de macizos arbustivos. Hasta abril de 2018 estos jardines eran conocidos como Jardines de Raimundo Fernández Villaverde. Con el cambio de denominación se ha instalado una placa en homenaje a Andrés Saborit, concejal socialista en el Ayuntamiento de Madrid durante la II República y artífice de grandes logros sociales como la apertura de la Casa de Campo, la ampliación del Metro, la municipalización de servicios y la construcción de unas 200 escuelas infantiles.",40.44613326792272,-3.698969929557834
PARQUES_Y_JARDINES,Jardines de El Buen Retiro,"PLAZA INDEPENDENCIA 7, MADRID, 28001","Jardín Histórico Artístico creado en el siglo XVII. Es la zona verde más importante del centro urbano, tanto por su extensión como por su riqueza vegetal. La diversidad de sus trazados corresponde con las intervenciones realizadas a lo largo de sus diferentes etapas históricas. Destacan el Parterre de estilo francés; el Estanque Grande, las Rías y Lagos artificiales; el Campo Grande de estilo paisajista donde se ubican los Palacios de Velázquez y Cristal; los jardines de Cecilio Rodríguez caracterizado por sus cipreses recortados, setos de boj y pérgolas y la Rosaleda; los jardines de los Planteles formados por cuadros de bosquetes delimitados por setos y el Bosque del Recuerdo. Este parque se incluye entre las visitas recomendadas a turistas que visitan la ciudad, según la web oficial de turismo de Madrid.  Limitación de acceso y reordenación de uso de vehículos a motor en los Jardines del Buen Retiro, Decreto 619 de 20 de diciembre de 2007.   Otras denominaciones: Parque del Retiro. El Retiro",40.41964087412762,-3.68793370943788
PARQUES_Y_JARDINES,Jardines de Sabatini,"CALLE BAILEN 2, MADRID, 28013","Los Jardines de Sabatini se encuentran situados frente a la fachada norte del Palacio Real, entre la calle de Bailén y la Cuesta de San Vicente, en una terraza colgada sobre el Campo del Moro. Se trata de un jardín de estilo neoclásico acorde con el palacio.    El jardín se divide en tres terrazas: la inferior, marcada por la simetría de los parterres a ambos lados de una gran lámina de agua a modo de espejo con dos surtidores, y enmarcada por cuatro cuadros con sendas fuentes rodeadas por figuras de seto; la segunda, que forma un impresionante balcón sobre la primera, en donde se domina la totalidad de la fachada norte del Palacio y que bajo un bosque de pinos se extiende hacia la Cuesta de San Vicente, en donde se encuentra una nueva escalera de doble entrada que salva el desnivel hasta la calle; y la tercera, en una altura superior y al este de la segunda terraza, con un juego de parterres y grandes cedros.  Este parque se incluye entre las visitas recomendadas a turistas que visitan la ciudad, según la web oficial de turismo de Madrid.",40.41991128710114,-3.713185308888602
PARQUES_Y_JARDINES,Jardines de la Plaza Conde del Valle de Suchil,"CALLE RODRIGUEZ SAN PEDRO 3, MADRID, 28015","Plaza rectangular pavimentada con macizos de arbustos y dotada con dos áreas infantiles, área canina y fuente ornamental.",40.43137597367309,-3.7064685006782208
PARQUES_Y_JARDINES,Jardines de la Plaza de Chamberí,"PLAZA CHAMBERI 1, MADRID, 28010","Plaza pavimentada situada junto a la Junta del Distrito en la que podemos encontrar área infantil, fuente ornamental y kiosco.",40.43285328749453,-3.697594475998512
PARQUES_Y_JARDINES,Jardines de la Plaza de Olavide,"PLAZA OLAVIDE 16, MADRID, 28010","Plaza circular pavimentada situada entre bloques, dotada de área infantil y aparatos de entrenamiento de mayores.",40.43247362678542,-3.700785562182429
PARQUES_Y_JARDINES,"Jardines de la Plaza de Oriente, Lepanto y Cabo Noval","CALLE BAILEN 17, MADRID, 28013","La plaza de Oriente, de forma rectangular cerrada en hemiciclo, está presidida por el Teatro Real y se abre en una gran perspectiva enmarcando la fachada oriental del Palacio Real. Se distinguen tres espacios diferenciados: el parterre central, que se desarrolla en el entorno del famoso grupo escultórico ecuestre de Felipe IV, y los jardines del cabo Noval y de Lepanto, que se sitúan a ambos lados.    El parterre central sigue el modelo decimonónico de jardinería: seto de complicados diseños geométricos y figuras topiarias (ejemplares perfilados con diversas formas), todo ello guardando simetría con un eje principal. Se utilizan: para el seto el boj, en las esquinas tejos y entre ellos cipreses. Se encuentra un ejemplar de magnolio en el centro de cada figura, y dos fuentes artísticas en los cuadros más cercanos a palacio. Los jardines de Lepanto y Cabo Noval son espacios abiertos y ajardinados para el descanso y recreo de los visitantes. La cantidad de árboles hace de ambos jardines un lugar idóneo para la estancia y el ocio. Los jardines del Cabo Noval, integrados principalmente por plantaciones de plátanos, ocupan la parte septentrional de la Plaza de Oriente, junto a la calle de San Quintín. Los jardines de Lepanto se encuentran en la parte meridional de la plaza y su composición es muy similar.",40.41835486065351,-3.712838830603048
PARQUES_Y_JARDINES,Jardines de la Plaza de la Villa de París,"CALLE GENERAL CASTAÑOS 6, MADRID, 28004","Plaza formada por dos amplios espacios estanciales, con zonas ajardinadas y arboladas ante el Tribunal Superior de Justicia, antiguo convento de Santa Bárbara. Dotada de zona de juegos infantiles y con grandes espacios en terrizo para el paseo de los ciudadanos.",40.42620255233654,-3.693446898367585
