TIPO,NOMBRE,DIRECCION,DESCRIPCION,LATITUD,LONGITUD
PISCINAS,Centro Deportivo Municipal  María Jesús Rosa (La Vaguada),"AVENIDA MONFORTE DE LEMOS 38.0, MADRID, 28029",No disponible,40.47876758357458,-3.7086993281311904
PISCINAS,Centro Deportivo Municipal Alcántara,"CALLE ALCANTARA 26.0, MADRID, 28006",No disponible,40.42810291538114,-3.6737317205040494
PISCINAS,Centro Deportivo Municipal Alfredo Goyeneche,"CALLE ARROYO DE POZUELO 99.0, MADRID, 28023",No disponible,40.45212135012858,-3.783283203719198
PISCINAS,Centro Deportivo Municipal Aluche,"AVENIDA DE LAS AGUILAS 14.0, MADRID, 28044",No disponible,40.382720517194784,-3.773653600881568
PISCINAS,Centro Deportivo Municipal Ángel Nieto (antiguo Puente de Vallecas),"CALLE PAYASO FOFO 7.0, MADRID, 28018",No disponible,40.39146194707861,-3.6598636029775866
PISCINAS,Centro Deportivo Municipal Antonio Díaz Miguel,"CALLE JOAQUIN DICENTA 1.0, MADRID, 28029",No disponible,40.471254265861454,-3.6953256978963807
PISCINAS,Centro Deportivo Municipal Barajas,"AVENIDA LOGROÑO 70.0, MADRID, 28042",No disponible,40.46301382809657,-3.587693324074623
PISCINAS,Centro Deportivo Municipal Blanca Fernández Ochoa (La Mina),"CALLE MONSEÑOR OSCAR ROMERO 41.0, MADRID, 28025",No disponible,40.38238220944523,-3.746452142917399
PISCINAS,Centro Deportivo Municipal Casa de Campo,"PASEO PUERTA DEL ANGEL 7.0, MADRID, 28011",No disponible,40.41612628789201,-3.733536573641621
PISCINAS,Centro Deportivo Municipal Cea Bermúdez,"CALLE CEA BERMUDEZ 3.0, MADRID, 28003",&amp;iexcl;Ya estamos abiertos!  Si quieres inscribirte puedes hacerlo online  AQUÍ,40.43857964605446,-3.706107413184514
PISCINAS,Centro Deportivo Municipal Centro Integrado Arganzuela,"CALLE CANARIAS 17.0, MADRID, 28045",No disponible,40.40207279862862,-3.6955325387824014
PISCINAS,Centro Deportivo Municipal Cerro Almodóvar,"CALLE CERRO DE ALMODOVAR 9.0, MADRID, 28007",No disponible,40.38168570611539,-3.602336460953483
PISCINAS,Centro Deportivo Municipal Chamartín,"AVENIDA PIO XII 2.0, MADRID, 28016",No disponible,40.46113349830694,-3.676208246061129
PISCINAS,Centro Deportivo Municipal Concepción,"CALLE JOSE DEL HIERRO 5.0, MADRID, 28027",No disponible,40.43725652047252,-3.6484498132292025
PISCINAS,Centro Deportivo Municipal Daoíz y Velarde 1,"PLAZA DAOÍZ Y VELARDE 5.0, MADRID, 28007",No disponible,40.40236990974131,-3.6772808932293217
PISCINAS,Centro Deportivo Municipal El Espinillo,"CARRETERA VILLAVERDE A VALLECAS 19.0, MADRID, 28041",No disponible,40.35634193991933,-3.686595141820635
PISCINAS,Centro Deportivo Municipal El Quijote (antiguo Francos Rodríguez),"CALLE NUMANCIA 11.0, MADRID, 28039",No disponible,40.45357807068047,-3.713052902704858
PISCINAS,Centro Deportivo Municipal Entrevías,"RONDA SUR 4.0, MADRID, 28053",No disponible,40.378413212706285,-3.674532317137481
PISCINAS,Centro Deportivo Municipal Escuelas de San Antón,"CALLE FARMACIA 13.0, MADRID, 28004",No disponible,40.42382670120857,-3.699010103263697
PISCINAS,Centro Deportivo Municipal Fabián Roncero,"AVENIDA SEPTIMA 68.0, MADRID, 28022",No disponible,40.44965684114441,-3.597577201182505
PISCINAS,Centro Deportivo Municipal Faustina Valladolid (antiguo Valdebernardo),"CALLE LADERA DE LOS ALMENDROS 2.0, MADRID, 28032",No disponible,40.40418961057298,-3.622901144863193
PISCINAS,Centro Deportivo Municipal Fernando Martín,"AVENIDA SANTO ANGEL DE LA GUARDA 6.0, MADRID, 28039",No disponible,40.46093540462317,-3.712191829928863
PISCINAS,Centro Deportivo Municipal Francisco Fernández Ochoa,"CALLE CATORCE OLIVAS 1.0, MADRID, 28054","Consulta listado de actividades:   Presencialmente: en el centro deportivo municipal  donde se desarrolla la actividad que se solicita, y dentro de los plazos establecidos.  En linea:  a través de Deportes/web y descargándote la app Avisos Madrid, a través de uno de los siguientes enlaces.  Para Android, a traves de Google Play  Para iOs, a través de Apple Store",40.36581776978113,-3.740893980533789
PISCINAS,Centro Deportivo Municipal Fuente del Berro,"CALLE ELVIRA 36.0, MADRID, 28028",No disponible,40.42171956854877,-3.6652515154670167
PISCINAS,Centro Deportivo Municipal Gallur,"CALLE GALLUR 2.0, MADRID, 28047",No disponible,40.398465832065,-3.7353834506869217
PISCINAS,Centro Deportivo Municipal Gimnasio Moscardó,"CALLE PILAR DE ZARAGOZA 93.0, MADRID, 28028",No disponible,40.437945289677,-3.674502029997267
PISCINAS,Centro Deportivo Municipal Hortaleza,"CARRETERA ESTACION DE HORTALEZA 11.0, MADRID, 28033",No disponible,40.4787279264401,-3.6527183525553006
PISCINAS,Centro Deportivo Municipal José María Cagigal,"CALLE SANTA POLA 22.0, MADRID, 28008",No disponible,40.43214955342785,-3.736964599283136
PISCINAS,Centro Deportivo Municipal La Almudena,"CALLE NICOLAS SALMERÓN 8.0, MADRID, 28017",No disponible,40.42060649869604,-3.6324237307227616
