TIPO,NOMBRE,DIRECCION,DESCRIPCION,LATITUD,LONGITUD
PISCINAS,Centro Deportivo Municipal Alcántara,"ALCANTARA CALLE 26.0, MADRID, 28006",No disponible,40.42810291538114,-3.6737317205040494
PISCINAS,Centro Deportivo Municipal Cea Bermúdez,"CEA BERMUDEZ CALLE 3.0, MADRID, 28003",&amp;iexcl;Ya estamos abiertos!  Si quieres inscribirte puedes hacerlo online  AQUÍ,40.43857964605446,-3.706107413184514
PISCINAS,Centro Deportivo Municipal Centro Integrado Arganzuela,"CANARIAS CALLE 17.0, MADRID, 28045",No disponible,40.40207279862862,-3.6955325387824014
PISCINAS,Centro Deportivo Municipal Daoíz y Velarde 1,"DAOÍZ Y VELARDE PLAZA 5.0, MADRID, 28007",No disponible,40.40236990974131,-3.6772808932293217
PISCINAS,Centro Deportivo Municipal Escuelas de San Antón,"FARMACIA CALLE 13.0, MADRID, 28004",No disponible,40.42382670120857,-3.699010103263697
PISCINAS,Centro Deportivo Municipal Fuente del Berro,"ELVIRA CALLE 36.0, MADRID, 28028",No disponible,40.42171956854877,-3.6652515154670167
PISCINAS,Centro Deportivo Municipal Gimnasio Moscardó,"PILAR DE ZARAGOZA CALLE 93.0, MADRID, 28028",No disponible,40.437945289677,-3.674502029997267
PISCINAS,Centro Deportivo Municipal La Cebada (antigua La Latina),"CEBADA PLAZA 15.0, MADRID, 28005","Si estás interesado/a en realizar cursos en nuestro centro: tienes hasta el 23 de octubre incluido para venir presencialmente a la instalación a hacer la preinscripción y, así, participar en el sorteo de adjudicación de plazas. Tambien puedes hacerlo a través de este enlace Apúntate  Entre el 25 y el 31 de octubre (ambos incluidos), contactaremos directamente con las personas seleccionadas en el sorteo para que puedan realizar la inscripción definitiva.",40.410546084176566,-3.70940146763504
PISCINAS,Centro Deportivo Municipal Marqués de Samaranch,"IMPERIAL PASEO 20.0, MADRID, 28005",No disponible,40.40761501410649,-3.7173807221939192
PISCINAS,Centro Deportivo Municipal Peñuelas,"ARGANDA CALLE 25.0, MADRID, 28005",No disponible,40.39865532340664,-3.704959759845779
PISCINAS,Centro Deportivo Municipal Vallehermoso,"FILIPINAS AVENIDA 7.0, MADRID, 28003",No disponible,40.44064843863945,-3.709053489027435
