PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;COD-BARRIO;BARRIO;COD-DISTRITO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
11772877;"Asamblea Cristiana Gilgal";"Templo evangélico.";"";"";"Bus:  141, 133, 8.";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1f2d6e4d59043810VgnVCM1000001d4a900aRCRD";"GARGANTA DE AISA";"CALLE";"V";"34";"";"";"";"";"MADRID";"MADRID";"28038";"6";"NUMANCIA";"13";"PUENTE DE VALLECAS";"444200";"4472697";"40.403023480440126";"-3.6575752658298923";"";"";"";"/contenido/entidadesYorganismos/TemplosOtrasReligiones"; 
11025958;"Asambleas de Evangelización Mundial para Cristo (AEMC)";"Templo evangélico";"";"";"Metro: San Francisco (línea 11)  Bus: 108, 118, 121, 131, 47";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2a060d28e4e5d610VgnVCM2000001f4a900aRCRD";"ANTONIA RODRIGUEZ SACRISTAN";"CALLE";"V";"8";"BAJO";"IZQUIERDA";"";"";"MADRID";"MADRID";"28044";"6";"BUENAVISTA";"11";"CARABANCHEL";"436747";"4469402";"40.372800292475574";"-3.745073767335671";"";"";"";"/contenido/entidadesYorganismos/TemplosOtrasReligiones"; 
11026848;"Asociación Evangélica Internacional";"Templo evangélico.";"";"";"Metro: Colombia (líneas 8 y 9).  Bus: 52, 11, 40, 7, 87.";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=04d59283b726d610VgnVCM2000001f4a900aRCRD";"NICARAGUA";"CALLE";"V";"19";"";"";"";"";"MADRID";"MADRID";"28016";"4";"HISPANOAMERICA";"5";"CHAMARTIN";"443135";"4478797";"40.457895405861926";"-3.6706745177055007";"";"";"";"/contenido/entidadesYorganismos/TemplosOtrasReligiones"; 
3387;"Catedral Anglicana de Madrid";"Iglesia Española Reformada Episcopal Comunión Anglicana.";"";"";"Metro: Alonso Martínez (líneas 4, 5 y 10), Tribunal (líneas 1 y 10).  Bus: 37, 149, 3, 40.  Bicimad: Estación 54 (calle Barceló, 7) / estación 7 (calle Hortaleza, 75).  Aparcamientos: Barceló (69), calle Barceló sin número; Arquitecto Ribera (Barceló) (17), calle Barceló, 2.";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=94ef13db5b71c010VgnVCM1000000b205a0aRCRD";"BENEFICENCIA";"CALLE";"V";"18";"";"";"";"";"MADRID";"MADRID";"28004";"4";"JUSTICIA";"1";"CENTRO";"440734";"4475314";"40.42635538209311";"-3.6986664775671785";"914 452 560 / 609 876 913";"";"anglicanspain@gmail.com";"/contenido/entidadesYorganismos/TemplosOtrasReligiones"; 
3388;"Catedral Ortodoxa Griega. Santa Iglesia Catedral de los Santos Andrés y Demetrio";"";"";"";"Metro: Colombia (líneas 8 y 9).  Bus: 11, 40, 7, 87, 52.";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=82547b503a71c010VgnVCM1000000b205a0aRCRD";"NICARAGUA";"CALLE";"V";"12";"";"";"";"";"MADRID";"MADRID";"28016";"4";"HISPANOAMERICA";"5";"CHAMARTIN";"442946";"4478760";"40.45755529500435";"-3.672894912820636";"913 454 085 / 913 503 705";"913 509 374";"metropoliespo@yahoo.es";"/contenido/entidadesYorganismos/TemplosOtrasReligiones"; 
11030102;"Centro Apostólico Cristo Viene";"Templo evangélico";"";"";"Metro: Almendrales (línea 3)  Bus: 123, 23, 18, 22, 59, 76, 79, 85, 86";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cec2be0e48e6d610VgnVCM2000001f4a900aRCRD";"ANTONIO LOPEZ";"CALLE";"V";"236";"1";"";"";"";"MADRID";"MADRID";"28026";"4";"ALMENDRALES";"12";"USERA";"440917";"4470580";"40.383724492823504";"-3.6960683266163925";"";"";"";"/contenido/entidadesYorganismos/TemplosOtrasReligiones"; 
11777559;"Centro Cristiano Amor y Fe";"Templo evangélico";"";"";"Metro: Carabanchel Alto (línea 11).   Bus:   155.";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b1cc832e34353810VgnVCM1000001d4a900aRCRD";"HAYA";"CALLE";"V";"1";"";"";"";"";"MADRID";"MADRID";"28044";"6";"BUENAVISTA";"11";"CARABANCHEL";"436570";"4468949";"40.368709165465525";"-3.7471132818088884";"";"";"";"/contenido/entidadesYorganismos/TemplosOtrasReligiones"; 
7063869;"Centro Cristiano Ciudad de Refugio";"Templo evangélico";"";"";"Metro: San Cristóbal (línea 3)  Bus: 59, 79  Cercanías: San Cristóbal del los Ángeles";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9d28ec795b750410VgnVCM2000000c205a0aRCRD";"GODELLA";"CALLE";"V";"103";"1";"Derecha";"";"";"MADRID";"MADRID";"28021";"2";"SAN CRISTOBAL";"17";"VILLAVERDE";"441595";"4465935";"40.34192622597721";"-3.6876586251390493";"";"";"";"/contenido/entidadesYorganismos/TemplosOtrasReligiones"; 
11745480;"Centro Cristiano Cuatro Caminos";"Templo evangélico.";"";"";"Metro: Estrecho (línea 1).  Bus: 124, 126, 66, 3, 128, 64.     Bicimad: Estación 155 (calle San Germán, 57).";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1185d69d1fb82810VgnVCM1000001d4a900aRCRD";"SAN ENRIQUE";"CALLE";"V";"12";"";"";"";"";"MADRID";"MADRID";"28020";"2";"CUATRO CAMINOS";"6";"TETUAN";"440563";"4478617";"40.456100287456294";"-3.700994547334428";"";"";"";"/contenido/entidadesYorganismos/TemplosOtrasReligiones"; 
11772518;"Centro Cristiano Evangélico";"Templo evangélico.";"";"";"Metro: Vicálvaro (línea 9).  Bus: 100, 130, 4.";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=60d1fec79ff33810VgnVCM1000001d4a900aRCRD";"LUMBRERAS";"CALLE";"V";"8";"";"";"";"";"MADRID";"MADRID";"28032";"1";"CASCO H.VICALVARO";"19";"VICALVARO";"447777";"4473097";"40.40685383679603";"-3.6154573903495684";"";"";"";"/contenido/entidadesYorganismos/TemplosOtrasReligiones"; 
