Viajeros y pernoctaciones;Puntos turísticos;Residencia;Periodo;Total
Viajero;28079 Madrid;Residentes en España;2023M06;400.401
Viajero;28079 Madrid;Residentes en España;2023M05;370.883
Viajero;28079 Madrid;Residentes en España;2023M04;368.129
Viajero;28079 Madrid;Residentes en España;2023M03;396.724
Viajero;28079 Madrid;Residentes en España;2023M02;367.715
Viajero;28079 Madrid;Residentes en España;2023M01;374.841
Viajero;28079 Madrid;Residentes en España;2022M12;425.262
Viajero;28079 Madrid;Residentes en España;2022M11;420.173
Viajero;28079 Madrid;Residentes en España;2022M10;375.124
Viajero;28079 Madrid;Residentes en España;2022M09;342.751
Viajero;28079 Madrid;Residentes en España;2022M08;285.965
Viajero;28079 Madrid;Residentes en España;2022M07;307.198
Viajero;28079 Madrid;Residentes en España;2022M06;365.812
Viajero;28079 Madrid;Residentes en España;2022M05;381.286
Viajero;28079 Madrid;Residentes en España;2022M04;380.023
Viajero;28079 Madrid;Residentes en España;2022M03;379.440
Viajero;28079 Madrid;Residentes en España;2022M02;352.696
Viajero;28079 Madrid;Residentes en España;2022M01;283.075
Viajero;28079 Madrid;Residentes en España;2021M12;387.339
Viajero;28079 Madrid;Residentes en España;2021M11;394.352
Viajero;28079 Madrid;Residentes en España;2021M10;398.601
Viajero;28079 Madrid;Residentes en España;2021M09;312.814
Viajero;28079 Madrid;Residentes en España;2021M08;221.145
Viajero;28079 Madrid;Residentes en España;2021M07;240.388
Viajero;28079 Madrid;Residentes en España;2021M06;244.023
Viajero;28079 Madrid;Residentes en España;2021M05;208.211
Viajero;28079 Madrid;Residentes en España;2021M04;142.900
Viajero;28079 Madrid;Residentes en España;2021M03;139.145
Viajero;28079 Madrid;Residentes en España;2021M02;115.670
Viajero;28079 Madrid;Residentes en España;2021M01;108.759
Viajero;28079 Madrid;Residentes en España;2020M12;116.282
Viajero;28079 Madrid;Residentes en España;2020M11;91.656
Viajero;28079 Madrid;Residentes en España;2020M10;73.759
Viajero;28079 Madrid;Residentes en España;2020M09;104.108
Viajero;28079 Madrid;Residentes en España;2020M08;71.842
Viajero;28079 Madrid;Residentes en España;2020M07;93.584
Viajero;28079 Madrid;Residentes en España;2020M06;.
Viajero;28079 Madrid;Residentes en España;2020M05;.
Viajero;28079 Madrid;Residentes en España;2020M04;0
Viajero;28079 Madrid;Residentes en España;2020M03;138.649
Viajero;28079 Madrid;Residentes en España;2020M02;407.235
Viajero;28079 Madrid;Residentes en España;2020M01;386.253
Viajero;28079 Madrid;Residentes en España;2019M12;407.351
Viajero;28079 Madrid;Residentes en España;2019M11;400.236
Viajero;28079 Madrid;Residentes en España;2019M10;383.711
Viajero;28079 Madrid;Residentes en España;2019M09;324.720
Viajero;28079 Madrid;Residentes en España;2019M08;294.656
Viajero;28079 Madrid;Residentes en España;2019M07;343.914
Viajero;28079 Madrid;Residentes en España;2019M06;380.280
Viajero;28079 Madrid;Residentes en España;2019M05;381.585
Viajero;28079 Madrid;Residentes en España;2019M04;372.467
Viajero;28079 Madrid;Residentes en España;2019M03;408.305
Viajero;28079 Madrid;Residentes en España;2019M02;393.522
Viajero;28079 Madrid;Residentes en España;2019M01;375.017
Viajero;28079 Madrid;Residentes en España;2018M12;433.655
Viajero;28079 Madrid;Residentes en España;2018M11;418.088
Viajero;28079 Madrid;Residentes en España;2018M10;381.007
Viajero;28079 Madrid;Residentes en España;2018M09;367.257
Viajero;28079 Madrid;Residentes en España;2018M08;301.427
Viajero;28079 Madrid;Residentes en España;2018M07;349.060
Viajero;28079 Madrid;Residentes en España;2018M06;388.003
Viajero;28079 Madrid;Residentes en España;2018M05;382.948
Viajero;28079 Madrid;Residentes en España;2018M04;348.611
Viajero;28079 Madrid;Residentes en España;2018M03;405.409
Viajero;28079 Madrid;Residentes en España;2018M02;396.133
Viajero;28079 Madrid;Residentes en España;2018M01;385.142
Viajero;28079 Madrid;Residentes en España;2017M12;444.984
Viajero;28079 Madrid;Residentes en España;2017M11;396.754
Viajero;28079 Madrid;Residentes en España;2017M10;365.405
Viajero;28079 Madrid;Residentes en España;2017M09;340.728
Viajero;28079 Madrid;Residentes en España;2017M08;311.791
Viajero;28079 Madrid;Residentes en España;2017M07;333.792
Viajero;28079 Madrid;Residentes en España;2017M06;351.868
Viajero;28079 Madrid;Residentes en España;2017M05;378.625
Viajero;28079 Madrid;Residentes en España;2017M04;363.331
Viajero;28079 Madrid;Residentes en España;2017M03;385.140
Viajero;28079 Madrid;Residentes en España;2017M02;378.032
Viajero;28079 Madrid;Residentes en España;2017M01;364.345
Viajero;28079 Madrid;Residentes en España;2016M12;413.811
Viajero;28079 Madrid;Residentes en España;2016M11;396.206
Viajero;28079 Madrid;Residentes en España;2016M10;393.746
Viajero;28079 Madrid;Residentes en España;2016M09;367.567
Viajero;28079 Madrid;Residentes en España;2016M08;315.856
Viajero;28079 Madrid;Residentes en España;2016M07;344.277
Viajero;28079 Madrid;Residentes en España;2016M06;379.744
Viajero;28079 Madrid;Residentes en España;2016M05;382.164
Viajero;28079 Madrid;Residentes en España;2016M04;362.077
Viajero;28079 Madrid;Residentes en España;2016M03;365.698
Viajero;28079 Madrid;Residentes en España;2016M02;384.704
Viajero;28079 Madrid;Residentes en España;2016M01;351.377
Viajero;28079 Madrid;Residentes en España;2015M12;420.876
Viajero;28079 Madrid;Residentes en España;2015M11;390.486
Viajero;28079 Madrid;Residentes en España;2015M10;386.233
Viajero;28079 Madrid;Residentes en España;2015M09;388.253
Viajero;28079 Madrid;Residentes en España;2015M08;315.499
Viajero;28079 Madrid;Residentes en España;2015M07;339.547
Viajero;28079 Madrid;Residentes en España;2015M06;380.898
Viajero;28079 Madrid;Residentes en España;2015M05;381.356
Viajero;28079 Madrid;Residentes en España;2015M04;391.901
Viajero;28079 Madrid;Residentes en España;2015M03;363.891
Viajero;28079 Madrid;Residentes en España;2015M02;354.495
Viajero;28079 Madrid;Residentes en España;2015M01;359.154
Viajero;28079 Madrid;Residentes en España;2014M12;434.265
Viajero;28079 Madrid;Residentes en España;2014M11;376.466
Viajero;28079 Madrid;Residentes en España;2014M10;400.883
Viajero;28079 Madrid;Residentes en España;2014M09;351.218
Viajero;28079 Madrid;Residentes en España;2014M08;303.836
Viajero;28079 Madrid;Residentes en España;2014M07;352.202
Viajero;28079 Madrid;Residentes en España;2014M06;373.609
Viajero;28079 Madrid;Residentes en España;2014M05;375.830
Viajero;28079 Madrid;Residentes en España;2014M04;353.214
Viajero;28079 Madrid;Residentes en España;2014M03;372.847
Viajero;28079 Madrid;Residentes en España;2014M02;343.619
Viajero;28079 Madrid;Residentes en España;2014M01;318.423
Viajero;28079 Madrid;Residentes en España;2013M12;381.267
Viajero;28079 Madrid;Residentes en España;2013M11;361.522
Viajero;28079 Madrid;Residentes en España;2013M10;358.255
Viajero;28079 Madrid;Residentes en España;2013M09;327.848
Viajero;28079 Madrid;Residentes en España;2013M08;251.571
Viajero;28079 Madrid;Residentes en España;2013M07;285.644
Viajero;28079 Madrid;Residentes en España;2013M06;316.103
Viajero;28079 Madrid;Residentes en España;2013M05;332.360
Viajero;28079 Madrid;Residentes en España;2013M04;314.067
Viajero;28079 Madrid;Residentes en España;2013M03;320.237
