TIPO,NOMBRE,DIRECCION,DESCRIPCION,LATITUD,LONGITUD
FUENTES,FUE_01_0001,"CENTRO, PLAZA COMENDADORAS",PLAZA COMENDADORAS,40.4272429,-3.7086003
FUENTES,FUE_01_0002,"CENTRO, JARDINES CONDE DUQUE",JARDINES CONDE DUQUE,40.4287238,-3.7101008
FUENTES,FUE_01_0003,"CENTRO, PLAZA DE LAS SALESAS",PLAZA DE LAS SALESAS,40.4242464,-3.6946026
FUENTES,FUE_01_0004,"CENTRO, PLAZA VILLA DE PARIS",PLAZA VILLA DE PARIS,40.4252981,-3.6922023
FUENTES,FUE_01_0005,"CENTRO, PLAZA VILLA DE PARIS",PLAZA VILLA DE PARIS,40.4255618,-3.6931763
FUENTES,FUE_01_0006,"CENTRO, PLAZA CRISTINO MARTOS",PLAZA CRISTINO MARTOS,40.4256456,-3.7120169
FUENTES,FUE_01_0007,"CENTRO, PLAZA SAN ILDEFONSO",PLAZA SAN ILDEFONSO,40.4241421,-3.7018126
FUENTES,FUE_01_0008,"CENTRO, PARQUE CASINO DE LA REINA",PARQUE CASINO DE LA REINA,40.4059482,-3.7049195
FUENTES,FUE_01_0009,"CENTRO, PLAZA DE LOS CARROS",PLAZA DE LOS CARROS,40.4116737,-3.711455
FUENTES,FUE_01_0012,"CENTRO, PARQUE DE LA CORNISA",PARQUE DE LA CORNISA,40.4098378,-3.7153448
FUENTES,FUE_01_0014,"CENTRO, PASEO DEL PRADO",PASEO DEL PRADO,40.41437435731804,-3.693158601410346
FUENTES,FUE_01_0015,"CENTRO, PASEO DEL PRADO",PASEO DEL PRADO,40.4168297,-3.6937882
FUENTES,FUE_01_0016,"CENTRO, PASEO DEL PRADO",PASEO DEL PRADO,40.4161552,-3.6939297
FUENTES,FUE_01_0017,"CENTRO, PASEO DEL PRADO",PASEO DEL PRADO,40.4127243,-3.6931979
FUENTES,FUE_01_0018,"CENTRO, CAPITAN SALAZAR MARTINEZ Nº 11","GLORIETA PUERTA DE TOLEDO, JARDÍN DE LAS HEROÍNAS DE SÁLVORA",40.4071271,-3.7102162
FUENTES,FUE_01_0020,"CENTRO, PLAZA DOS DE MAYO",PLAZA DOS DE MAYO,40.4269465,-3.7044044
FUENTES,FUE_01_0021,"CENTRO, PARQUE DE ATENAS",JUNTO PISTA DEPORTIVA,40.4150604,-3.7205578
FUENTES,FUE_01_0023,"CENTRO, PLAZA DE SANTO DOMINGO",PLAZA DE SANTO DOMINGO,40.4200731,-3.7082753
FUENTES,FUE_01_0024,"CENTRO, JARDINES PLAZA GABRIEL MIRO",JARDINES PLAZA GABRIEL MIRO,40.412665,-3.7148802
FUENTES,FUE_01_0027,"CENTRO, CALLE SEGOVIA, 30",PARQUE DE ATENAS,40.4147755,-3.7189277
FUENTES,FUE_01_0028,"CENTRO, PARQUE DE ATENAS",JUNTO PISTAS PETANCA Y ESTANQUE,40.4147606,-3.7201468
FUENTES,FUE_01_0029,"CENTRO, PARQUE CASINO DE LA REINA",PARQUE CASINO DE LA REINA,40.4066592,-3.7046006
FUENTES,FUE_01_0030,"CENTRO, PARQUE CASINO DE LA REINA",PARQUE CASINO DE LA REINA,40.4425058,-3.7057139
FUENTES,FUE_01_0031,"CENTRO, CL ARGANZUELA Nº:1",FUENTE CABESTREROS/  FUENTECILLA DEL LEAL,40.4088482,-3.7102571
FUENTES,FUE_01_0032,"CENTRO, CL MESON DE PAREDES, Nº 48",CABESTREROS/ PLAZA NELSON MANDELA,40.4093894,-3.7039254
FUENTES,FUE_01_0033,"CENTRO, CL SAN JUSTO Nº:1",PLAZA PUERTA CERRADA,40.4138188,-3.7090393
FUENTES,FUE_01_0034,"CENTRO, PLAZA JESUS Nº:4",Sin información adicional,40.4099264,-3.7072101
FUENTES,FUE_01_0036,"CENTRO, PLAZA CASCORRO Nº:11",Sin información adicional,40.4093572,-3.6959374
FUENTES,FUE_01_0037,"CENTRO, PLAZA ISABEL II Nº:8",Sin información adicional,40.4181182,-3.7091416
FUENTES,FUE_01_0038,"CENTRO, PZA. GENERAL VARA DE REY, Nº 3",Sin información adicional,40.4092552,-3.7083933
