NOMBRE,DESCRIPCION-ENTIDAD,HORARIO,EQUIPAMIENTO,TRANSPORTE,ACCESIBILIDAD,CONTENT-URL,NOMBRE-VIA,CLASE-VIAL,TIPO-NUM,NUM,LOCALIDAD,PROVINCIA,CODIGO-POSTAL,BARRIO,DISTRITO,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD,TELEFONO,EMAIL
Casa Museo Lope de Vega,"'Mi casilla, mi quietud, mi g&amp;uuml;ertecillo y estudio'. Así define su casa Félix Lope de Vega (1562-1635) en una carta dirigida a un amigo. Situada en pleno centro histórico, en el Barrio de las Letras, la Casa Museo Lope de Vega se ubica en el edificio donde el escritor vivió sus últimos 25 años. La recreación de ambientes, cuyo objetivo es que se respire la presencia de Lope, evoca la vida cotidiana del Siglo de Oro y nos acerca a su intimidad. El equipamiento de la casa incorpora obras de arte, mobiliario, enseres y ediciones bibliográficas vinculadas al literato y su tiempo.","De martes a domingo, de 10 a 18 horas.  Cerrado los lunes, días 1 y 6 de enero, 1 de mayo, 9 de noviembre y 24, 25 y 31 de diciembre. El acceso al museo se hace mediante visitas guiadas en grupo. Es imprescindible reservar con antelación, por teléfono o correo electrónico.",Equipamiento no disponible,"Metro: Antón Martín (línea 1), Sevilla (línea 2), Sol (líneas 1, 2 y 3).  Bus: 002, M1, 001, 10, 14, 27, 34, 37, 45, C03, 26, 32, 6, 51,   Cercanías Renfe:  Sol (líneas C3 y C4).   Bicimad: Estaciones 27 (calle Jesús), 52 (plaza de Santa Ana, 10), 29 (calle Marqués de Cubas, 25).  Aparcamientos: Cortes (46), plaza de las Cortes; plaza de Santa Ana (77).","['No accesible', 'Lengua de signos']",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4eff8c46145e8110VgnVCM2000000c205a0aRCRD,CERVANTES,CALLE,V,11.0,MADRID,MADRID,28014,CORTES,CENTRO,440825,4473983,40.41435846655524,-3.6974741545860015,914 299 216,casamuseolopedevega@madrid.org
Casita - Museo del Ratón Pérez,"La Casita-Museo de Ratón Pérez, constituye un singular lugar que da la bienvenida a cuantos visitantes allí acuden con el deseo de conocer y encontrarse con este extraordinario, único, madrileño y universal ratón.",Visitas:     Lunes: 11 a 14 horas.   Martes a viernes: 11 a 14 y 17 a 20 horas.   Sábados: 11 a 14:30 y 16 a 20 horas.   Domingos y festivos: 11 a 14:30 y 16 a 20 horas (cerrado 25 de diciembre y 1 y 6 de enero).,Equipamiento no disponible,"Metro: Sol (líneas: 1, 2 y 3), Ópera (líneas 2, 5 y Ramal Ópera Príncipe Pío), Callao (líneas 3, 5).  Bus: 50.  Cercanías Renfe: Sol (líneas C3, C4, C4a, C4b y Regional).  Bicimad: Estaciones 31 (calle Mayor, 20), 25 a y b (Plaza Celenque, 1).  Aparcamientos: El Core Inglés Preciados (93) calle Preciados; Descalzas (20) plaza Descalzas y plaza San Martín; plaza del Carmen (8); plaza Mayor (55).",['No accesible'],http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=990950e86d4ca110VgnVCM2000000c205a0aRCRD,ARENAL,CALLE,V,8.0,MADRID,MADRID,28013,SOL,CENTRO,440144,4474287,40.4170597715272,-3.705519933444249,915 226 968,info@casamuseoratonperez.es
Castillo de la Alameda,"El Castillo de la Alameda o de Barajas se trata de uno de los escasos vestigios de la arquitectura militar del pasado siglo XV y uno de los pocos castillos que ha sobrevivido al paso del tiempo. Bajo él y su entorno, existen restos de asentamientos antiguos desde la Edad del Bronce hasta la Época Romana.En el edificio se realizan talleres para escolares y actividades en verano.","Abierto solo en fin de semana (sábado y domingo) y festivos (lunes festivos incluidos)  Del 1 de abril al 15 de junio de 10 a 21 horas. Del 16 de junio al 15 de septiembre de 10 a 20 horas. Del 15 al 30 de septiembre de 10 a 21 horas. De octubre a marzo de 10 a 18 horas.  Cerrado: 1 y 6 de enero, 1 de mayo, 24, 25 y 31 de diciembre.",Equipamiento no disponible,"Metro: Alameda de Osuna y El Capricho (línea 5). Bus: 101, 105, 112, 114, 115 y 151.","['Accesible', 'Bucle de inducción magnético']",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fe43c4be8e688210VgnVCM1000000b205a0aRCRD,ANTONIO SANCHA,CALLE,V,1.0,MADRID,MADRID,28042,ALAMEDA DE OSUNA,BARAJAS,449698,4478802,40.45835460563491,-3.5932903820278788,913 667 415,castilloalameda@madrid.es
Casón del Buen Retiro.,"El Centro de Estudios del Prado está ubicado en el Casón del Buen Retiro, que aloja además la Biblioteca, el Archivo, el Centro de Documentación y los Departamentos de Conservación del Museo Nacional del Prado.",Primavera y verano (de abril a septiembre): desde las 6 hasta las 24 h. Otoño e invierno (de octubre a marzo): desde las 6 hasta las 22 h.,Equipamiento no disponible,"Metro: Estación del Arte (línea 1), Banco de España (línea 2).  Bus: 19.  Cercanías Renfe: Atocha (líneas C1, C2, C3, C4, C4a, C4b, C5, C7 y C10).  Bicimad: Estación 65 (calle Antonio Maura, 15).  Parking: Montalbán (49), C/ Montalbán (entre C/ Alfonso XI y Paseo del Prado).",['Accesible'],http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f0443d0b5e71c010VgnVCM1000000b205a0aRCRD,ALFONSO XII,CALLE,V,28.0,MADRID,MADRID,28014,LOS JERONIMOS,RETIRO,441525,4474078,40.41527545361461,-3.689222446432277,902 10 70 77,centro.estudios@museodelprado.es
Centro Cultural La Corrala. Museo de Artes y Tradiciones Populares,Descripción no disponible,"Lunes a viernes de 10 a 20 horas. Sábados de 10 a 14 horas. Cerrado domingos, festivos y mes de agosto, 24 y 31 diciembre.",Las visitas individuales (grupos inferiores a 7 personas) no necesitan reserva previa. Reservas (Grupos de 8 a 20 personas máximo).,"Metro: La Latina (línea 5)  Bus: 002, 17, 18, 23, 35, 60.  Bicimad: Estaciones 39 (plaza de la Cebada, 16), 45 (glorieta de la Puerta de Toledo, 1), 44 (calle Mesón de Paredes, 35).",['Sin información sobre accesibilidad para personas con movilidad reducida'],http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5c39ef4d7f71c010VgnVCM1000000b205a0aRCRD,CARLOS ARNICHES,CALLE,V,3.0,MADRID,MADRID,28005,EMBAJADORES,CENTRO,439899,4473375,40.408827275648434,-3.7083241323093614,914 976 500,museoatp@uam.es / lacorrala@uam.es
Ermita de San Antonio de la Florida (Museo),"Ermita dedicada a San Antonio de Padua y pequeño museo. Las pinturas murales que la decoran son de Francisco de Goya. Alberga los restos mortales del artista desde 1919. Para preservar sus pinturas, en 1929 se trasladó el culto a una ermita gemela construida a su lado, dejando el edificio original como museo.","General   De martes a domingos de 9:30 a 20 horas.   Verano (del 15 de junio al 15 de septiembre)   De martes a viernes de 9:30 a 14 horas y de 15 a 19 horas. Sábados y domingos de 9:30 a 19 horas.   Cerrado:  lunes (incluidos festivos), 1 y 6 de enero, 1 de mayo, 24, 25 y 31 de diciembre.  Último pase de visita: 20 minutos antes del cierre (el desalojo de las salas comenzará 10 minutos antes) Este horario y la apertura de salas pueden sufrir modificaciones.","Tienda, en la que se pueden adquirir las guías y publicaciones sobre la ermita editadas por el Museo y otros organismos públicos, así como catálogos y publicaciones de instituciones culturales del Ayuntamiento de Madrid.","Metro: Príncipe Pío (líneas 5, 10 y ramal Ópera - Príncipe Pío)  Bus: 41, 46 y 75 (Intercambiador Príncipe Pío)  Renfe: Príncipe Pío  BICIMAD: Estación 161 (Paseo de la Florida 8)","['Instalación parcialmente accesible para personas con movilidad reducida', 'Bucle de inducción magnético']",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=75950204770e7310VgnVCM2000000c205a0aRCRD,SAN ANTONIO DE LA FLORIDA,GLORIETA,V,5.0,MADRID,MADRID,28008,CASA DE CAMPO,MONCLOA-ARAVACA,438439,4475212,40.425256682855846,-3.725725718176111,915 420 722 o 683 429 760,sanantonio@madrid.es
Espacio Fundación Telefónica,Descripción no disponible,"De martes a domingo, de 10 a 20 horas. Cerrado al público todos los lunes y días 25 de diciembre, 1 y 6 de enero.",Equipamiento no disponible,"Metro: Gran Vía (líneas 1 y 5).  Bus: 001, 002, 1, 146, 2, 46, 74, 3.  Bicimad: Estaciones 211 (calle Desengaño, 1), 210 (calle Tres Cruces, 7), 18 (plaza de Pedro Zerolo, 1).  Aparcamientos: Barco 1 (88), Calle Barco; Pedro Zerolo (71), plaza Pedro Zerolo sin número; plaza del Carmen (8).",['Accesible'],http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=87748ed67151c010VgnVCM2000000c205a0aRCRD,FUENCARRAL,CALLE,V,3.0,MADRID,MADRID,28004,UNIVERSIDAD,CENTRO,440480,4474658,40.42042493125648,-3.701594573150366,915 808 700 (información general) / 659 158 011 (visitas guiadas y talleres educativos),espacio@fundaciontelefonica.com
Fundación AMYC (Arte Moderno y Contemporáneo). Casa Museo Fuente del Rey,Descripción no disponible,"Martes a sábado, de 10 a 19 horas. Lunes, domingos y festivos cerrado. Visitas para grupos de hasta 25 personas dentro de los horarios de apertura. Pueden ser con guía propio o con guía de la Fundación, y la duración de la misma es de una hora, previa reserva telefónica o por email.",Equipamiento no disponible,Bus: 161.,['Sin información sobre accesibilidad para personas con movilidad reducida'],http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5c1260101310f210VgnVCM1000000b205a0aRCRD,FUENTE DEL REY,CALLE,V,11.0,MADRID,MADRID,28023,ARAVACA,MONCLOA-ARAVACA,434663,4478596,40.45546866305681,-3.770571681413097,913 579 116,info@fundacionamyc.org
La Casa Encendida de la Fundación Montemadrid,"Edificio de carácter monumental. De estilo neomudéjar, fue diseñado por el arquitecto Fernando Arbós e inaugurado en el año 1913. Cuenta con más de 6000 metros cuadrados de instalaciones divididas en 4 plantas y una azotea. Centro social y cultural.",De martes a domingo de 10 a 22 horas.,"Biblioteca,mediateca, hemeroteca, laboratorio de radio, fotográfico y multimedia Cafetería Terraza &amp;ndash; café bar Ecotienda solidaria Visitas guiadas","Metro: Embajadores (línea 3)  Bus: 119, 27, 34, 36, 41, C03, C2, C1, 148, 60, 75, M1  Cercanías Renfe: Embajadores (línea C5)  Bicimad: Estación 49 (ronda de Atocha, 34)  Aparcamiento: Garaje Amparo (75), calle Amparo","['Accesible', 'Lengua de signos', 'Bucle de inducción magnético']",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c27f8899fc81c010VgnVCM1000000b205a0aRCRD,VALENCIA,RONDA,V,2.0,MADRID,MADRID,28012,EMBAJADORES,CENTRO,440622,4473051,40.40596221830597,-3.6997720739017033,902 430 322,Email no disponible
Museo ABC,"Centro de arte, dibujo e ilustración.",Consultar.,Equipamiento no disponible,"Metro: San Bernardo (líneas 2, 4), Noviciado (línea 2), Ventura Rodríguez (línea 3), Plaza de España (líneas 3, 10)  Bus: M2, C1, C3, 1, 2, 3, 21, 44, 133, 147, 001, 002   Bicimad: Estación 13 (calle Conde Duque 22)",['Accesible'],http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f0103fee6537c210VgnVCM1000000b205a0aRCRD,AMANIEL,CALLE,V,29.0,MADRID,MADRID,28015,UNIVERSIDAD,CENTRO,439813,4475439,40.42741121610518,-3.709539260414957,917 588 379,info_museo@abc.es
