TIPO,NOMBRE,DIRECCION,DESCRIPCION,LATITUD,LONGITUD
MUSEOS,Casa Museo Lope de Vega,"CALLE CERVANTES 11, MADRID, 28014","'Mi casilla, mi quietud, mi güertecillo y estudio'. Así define su casa Félix Lope de Vega (1562-1635) en una carta dirigida a un amigo. Situada en pleno centro histórico, en el Barrio de las Letras, la Casa Museo Lope de Vega se ubica en el edificio donde el escritor vivió sus últimos 25 años. La recreación de ambientes, cuyo objetivo es que se respire la presencia de Lope, evoca la vida cotidiana del Siglo de Oro y nos acerca a su intimidad. El equipamiento de la casa incorpora obras de arte, mobiliario, enseres y ediciones bibliográficas vinculadas al literato y su tiempo.",40.41435846655524,-3.6974741545860015
MUSEOS,Casita - Museo del Ratón Pérez,"CALLE ARENAL 8, MADRID, 28013","La Casita-Museo de Ratón Pérez, constituye un singular lugar que da la bienvenida a cuantos visitantes allí acuden con el deseo de conocer y encontrarse con este extraordinario, único, madrileño y universal ratón.",40.4170597715272,-3.705519933444249
MUSEOS,Castillo de la Alameda,"CALLE ANTONIO SANCHA 1, MADRID, 28042","El Castillo de la Alameda o de Barajas se trata de uno de los escasos vestigios de la arquitectura militar del pasado siglo XV y uno de los pocos castillos que ha sobrevivido al paso del tiempo. Bajo él y su entorno, existen restos de asentamientos antiguos desde la Edad del Bronce hasta la Época Romana.En el edificio se realizan talleres para escolares y actividades en verano.",40.45835460563491,-3.5932903820278788
MUSEOS,Casón del Buen Retiro.,"CALLE ALFONSO XII 28, MADRID, 28014","El Centro de Estudios del Prado está ubicado en el Casón del Buen Retiro, que aloja además la Biblioteca, el Archivo, el Centro de Documentación y los Departamentos de Conservación del Museo Nacional del Prado.",40.41527545361461,-3.689222446432277
MUSEOS,Centro Cultural La Corrala. Museo de Artes y Tradiciones Populares,"CALLE CARLOS ARNICHES 3, MADRID, 28005",Descripción no disponible,40.408827275648434,-3.7083241323093614
MUSEOS,Ermita de San Antonio de la Florida (Museo),"GLORIETA SAN ANTONIO DE LA FLORIDA 5, MADRID, 28008","Ermita dedicada a San Antonio de Padua y pequeño museo. Las pinturas murales que la decoran son de Francisco de Goya. Alberga los restos mortales del artista desde 1919. Para preservar sus pinturas, en 1929 se trasladó el culto a una ermita gemela construida a su lado, dejando el edificio original como museo.",40.425256682855846,-3.725725718176111
MUSEOS,Espacio Fundación Telefónica,"CALLE FUENCARRAL 3, MADRID, 28004",Descripción no disponible,40.42042493125648,-3.701594573150366
MUSEOS,Fundación AMYC (Arte Moderno y Contemporáneo). Casa Museo Fuente del Rey,"CALLE FUENTE DEL REY 11, MADRID, 28023",Descripción no disponible,40.45546866305681,-3.770571681413097
MUSEOS,La Casa Encendida de la Fundación Montemadrid,"RONDA VALENCIA 2, MADRID, 28012","Edificio de carácter monumental. De estilo neomudéjar, fue diseñado por el arquitecto Fernando Arbós e inaugurado en el año 1913. Cuenta con más de 6000 metros cuadrados de instalaciones divididas en 4 plantas y una azotea. Centro social y cultural.",40.40596221830597,-3.6997720739017033
MUSEOS,Museo ABC,"CALLE AMANIEL 29, MADRID, 28015","Centro de arte, dibujo e ilustración.",40.42741121610518,-3.709539260414957
MUSEOS,Museo Africano Misioneros Combonianos,"CALLE ARTURO SORIA 101, MADRID, 28043",Descripción no disponible,40.44946738556641,-3.651489872602189
MUSEOS,Museo Arqueológico Nacional,"CALLE SERRANO 13, MADRID, 28001","Fundado en 1867, el MAN se inauguró en 1895 en su actual sede, en el Palacio de Biblioteca y Museos, edificio proyectado por Francisco Jareño y terminado por Antonio Ruiz de Salces.",40.4232789604228,-3.688412123509053
MUSEOS,Museo Casa de la Moneda,"CALLE DOCTOR ESQUERDO 36, MADRID, 28028",Descripción no disponible,40.42260021542579,-3.669139860245996
MUSEOS,Museo Cerralbo,"CALLE VENTURA RODRIGUEZ 17, MADRID, 28008","Este Palacio, construido entre 1883 y 1893, fue concebido como vivienda y como museo para sede de las obras de arte reunidas por los Marqueses de Cerralbo y sus hijos, los Marqueses de Villa Huerta, durante los numerosos viajes que realizaron por España y Europa.",40.42377925205143,-3.714599606357376
MUSEOS,Museo EMT,"CALLE MAURICIO LEGENDRE 40, MADRID, 28046","El Museo de la EMT se ha convertido en realidad tras una década de duro trabajo de recuperación, restauración y reparación del patrimonio histórico de la Empresa Municipal de Transportes de Madrid, especialmente, material móvil, mobiliario, piezas mecánicas, maquinaria y otros elementos inherentes a la actividad de la EMT en sus 70 años de historia.",40.48017361286031,-3.6831595451893273
MUSEOS,Museo Félix Cañada,"CALLE ALENZA 1, MADRID, 28003","Una selección de más de quinientas obras de arte de entre las cerca de mil de la donación original, constituyen la Colección Permanente que se puede visitar en las salas del Museo Félix Cañada de la Fundación Gómez Pardo, adscrita a la Escuela Técnica Superior de Ingenieros de Minas y Energía de la Universidad Politécnica de Madrid. Donada por el ingeniero de minas Doctor Félix Cañada Guerrero a la Fundación Gómez Pardo, reúne una amplia representación de trabajos de destacados artistas, pintores, escultores, ilustradores, grabadores, orfebres, ceramistas, etc. abarcando diferentes periodos desde el siglo XI hasta nuestros días.",40.442581673356834,-3.700796192332983
MUSEOS,Museo Geominero,"CALLE RIOS ROSAS 23, MADRID, 28003","Los objetivos del Museo Geominero son conservar, investigar y difundir la riqueza y diversidad del patrimonio geológico, paleontológico y mineralógico a través de las importantes colecciones de minerales, rocas y fósiles procedentes de todas las regiones españolas y de antiguos territorios coloniales, así como de yacimientos significados del registro mundial.",40.44204795207367,-3.699670468881422
MUSEOS,Museo Histórico Minero Don Felipe de Borbón y Grecia,"CALLE RIOS ROSAS 21, MADRID, 28003",Ubicado en la Escuela Técnica Superior de Ingenieros de Minas de Madrid,40.44209227424258,-3.700373464615154
MUSEOS,Museo ICO,"CALLE ZORRILLA 3, MADRID, 28014",Descripción no disponible,40.41676546905435,-3.697722260547764
MUSEOS,Museo Los Caños del Peral. Estación de Metro Ópera,"PLAZA ISABEL II 1, MADRID, 28013","A diez metros bajo la plaza de Isabel II, la estación de Metro Ópera (L2, L5 y Ramal Norte) alberga la recreación museística de la histórica fuente de los Caños del Peral. La visita nos permite conocer la fuente que recogía el agua de manantial junto al arroyo del Arenal durante la segunda mitad del sigloXVI, y que tenía en origen 34 metros de longitud; la galería de abastecimiento en bóveda de cañón y la alcantarilla de la zona; y el acueducto que, salvando al barranco del arroyo del Arenal, surtió de agua al Palacio Real desde el siglo XVII hasta prácticamente el siglo XX.",40.41775560280743,-3.709202070089538
MUSEOS,Museo Lázaro Galdiano,"CALLE SERRANO 122, MADRID, 28006",Descripción no disponible,40.43675593917329,-3.6861820403705816
