TIPO,NOMBRE,DIRECCION,DESCRIPCION,LATITUD,LONGITUD
OFICINAS_TURISMO,Centro de Turismo Plaza Mayor,"PLAZA MAYOR 27, MADRID, 28012",Madrid cuenta en el Salón de Columnas de la Casa de la Panadería de la céntrica Plaza Mayor con uno de los más modernos centros turísticos del país que ofrece atención especializada con una plantilla de profesionales expertos en turismo e idiomas que atiende personalmente a los visitantes y da respuesta también a todas las peticiones de información que se realizan de manera no presencial. Centro de turismo cofinanciado por el Fondo Europeo de Desarrollo Regional.,40.41583855082183,-3.707425708432364
OFICINAS_TURISMO,Centro de Turismo de Sol. Comunidad de Madrid,"PLAZA PUERTA DEL SOL 5, MADRID, 28013",No disponible,40.41661777543638,-3.702829899539909
OFICINAS_TURISMO,Madrid Film Office,"PLAZA MAYOR 27, MADRID, 28012","Madrid Film Office es un servicio público del Ayuntamiento de Madrid que tiene como misión promocionar la ciudad como escenario de rodaje de producciones audiovisuales, asistir a las empresas y a los profesionales que eligen la ciudad de Madrid para llevar a cabo sus proyectos, apoyar al sector audiovisual madrileño y estimular la inversión y el desarrollo local. Madrid Film Office colabora desde la fase de preproducción para facilitar la búsqueda de localizaciones, te asesora en materia de permisos y te acompaña durante el desarrollo de los proyectos audiovisuales en la ciudad de Madrid. La oficina está abierta a consultas y solicitudes de asistencia por vía telefónica o email. Si deseas una atención presencial, solicita cita previa a través del correo electrónico info@madridfilmoffice.com.",40.4157939804409,-3.707410513738525
OFICINAS_TURISMO,Oficina Joven Comunidad de Madrid. TIVE. Moncloa,"CALLE FERNANDO EL CATOLICO 88, MADRID, 28015",No disponible,40.43442331966472,-3.717795251173153
OFICINAS_TURISMO,Oficina de Turismo de Andalucía en Madrid,"AVENIDA FELIPE II 15, MADRID, 28009",No disponible,40.424183525039,-3.673810495427334
OFICINAS_TURISMO,Oficina de Turismo de Andorra,"CALLE ALCALA 73, MADRID, 28009",No disponible,40.42046394238552,-3.687388075926701
OFICINAS_TURISMO,Oficina de Turismo de Brasil,"CALLE ALMAGRO 28, MADRID, 28010",No disponible,40.43017960044132,-3.692768600492918
OFICINAS_TURISMO,Oficina de Turismo de Galicia en Madrid,"CALLE CASADO DEL ALISAL 8, MADRID, 28014",No disponible,40.41384111587109,-3.690609097320196
OFICINAS_TURISMO,Oficina de Turismo de Irán,"CALLE MARIA DE MOLINA 26, MADRID, 28006",No disponible,40.4375784193194,-3.68480335062249
OFICINAS_TURISMO,Oficina de Turismo de Jordania,"CALLE MONTESA 41, MADRID, 28006",No disponible,40.43070150530818,-3.672214190022352
OFICINAS_TURISMO,Oficina de Turismo de Malta,"PASEO CASTELLANA 45, MADRID, 28046",No disponible,40.43569358766222,-3.689677189614338
OFICINAS_TURISMO,Oficina de Turismo de Perú,"PLAZA MARQUES DE SALAMANCA 10, MADRID, 28006",No disponible,40.429674007218026,-3.67928833409802
