Distrito,Apartado,Número de archivo,Situación Destino,Destino,Solar
CENTRO,PARQUES Y JARDINES,300.0,CALLE DE BAILEN NUM 15,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,5025.42 m2
CENTRO,PARQUES Y JARDINES,300.001,CALLE DE BAILEN NUM 6,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES SINGULAR. DENTRO DE SU PERÍMETRO SE ENCUENTRA UBICADAUNA CASETA DE GUARDAS.,26814.00 m2
CENTRO,PARQUES Y JARDINES,300.002,"CALLE DEL MESON DE PAREDES, NUM. 37 C/V C/ DE AMPARO NUM 26",DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,2979.20 m2
CENTRO,PARQUES Y JARDINES,300.003,CALLE MESON DE PAREDES NUM 68,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,1637.34 m2
CENTRO,PARQUES Y JARDINES,300.004,CALLE DE SEGOVIA NUM 12,DOTACIONAL SERVCIOS COLECTIVOS ZONAS VERDES BÁSICO. AFECTADO TOTALMENTE PARA JARDIN PUBLICO. PROYECTODEL BARRIO HISTORICO.,172.90 m2
CENTRO,PARQUES Y JARDINES,300.005,"CALLE DE SEGOVIA, Nº 21-23 Y C/ DE LA MORERÍA, Nº 28",DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. AFECTADO TOTALMENTE POR LOS ACCESOS AL VIADUCTO.,5462.95 m2
CENTRO,PARQUES Y JARDINES,300.006,"CALLE DE SEGOVIA, Nº27 C/V CUESTA DE LOS CIEGOS",DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. AFECTADA PARA ZONA VERDE. ACCESOS AL VIADUCTO.,1001.53 m2
CENTRO,PARQUES Y JARDINES,300.007,CALLE DE SEGOVIA C/V CUESTA DE LA VEGA,"DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. ANTIGUA ALAMEDA DE LA VIRGEN DEL PUERTO YJARDINES DE LA CUESTA DE LA VEGA. DENTRO DE SU PERIMETRO SE ENCUENTRAN UBICADOS UN EVACUATORIO, UNCANTON DE LIMPIEZAS, UNA CASETA DE PERSONAL DE JARDINERÍA Y UNA PISTA POLIVALENTE.",106811.18 m2
CENTRO,PARQUES Y JARDINES,300.008,"CALLE DE SEGOVIA, Nº 31 Y 37 C/V CUESTA DE JAVALQUINTO",DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. ACCESOS AL VIADUCTO.,1999.63 m2
CENTRO,PARQUES Y JARDINES,300.009,CALLE DE SEGOVIA NUM 35,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. AFECTADO PARA ZONA VERDE. ACCESOS AL VIADUCTO.,1374.79 m2
CENTRO,PARQUES Y JARDINES,300.01,RONDA DE SEGOVIA NUM 9,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,654.66 m2
CENTRO,PARQUES Y JARDINES,300.011,PLAZA DE GABRIEL MIRO,"DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. EN SU INTERIOR SE ENCUENTRA LA PISTA DEPORTIVA""GABRIEL MIRÓ"" (TAMBIÉN DENOMINADA ""LAS VISTILLAS""), SITUADA EN LA C/ GABRIEL MIRÓ C/V C/ BEATRIZGALINDO C/V C/ MORERÍA.",12346.82 m2
CENTRO,PARQUES Y JARDINES,300.012,CUESTA DE LOS CIEGOS,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,77.08 m2
CENTRO,PARQUES Y JARDINES,300.013,CALLE DE BEATRIZ GALINDO NUM 3,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,496.08 m2
CENTRO,PARQUES Y JARDINES,300.014,CUESTA DE LOS CIEGOS NUM 3,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,776.35 m2
CENTRO,PARQUES Y JARDINES,300.015,CUESTA DE LOS CIEGOS NUM 5,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,539.00 m2
CENTRO,PARQUES Y JARDINES,300.016,CUESTA DE JAVALQUINTO NUM 5,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,745.85 m2
CENTRO,PARQUES Y JARDINES,300.017,CUESTA DE JAVALQUINTO NUM 7,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,451.49 m2
CENTRO,PARQUES Y JARDINES,300.018,CALLE DE LA MORERIA NUM 12,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,1099.58 m2
CENTRO,PARQUES Y JARDINES,300.019,CALLE DE LA MORERIA NUM 22,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,939.95 m2
CENTRO,PARQUES Y JARDINES,300.02,CUESTA DE LOS CIEGOS C/V C/ DE BEATRIZ GALINDO,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,471.75 m2
CENTRO,PARQUES Y JARDINES,300.021,CALLE DE BARCELÓ,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. EN SU SUBSUELO SE CONSTRUYERON UNOSEVACUATORIOS.,13461.43 m2
CENTRO,PARQUES Y JARDINES,300.027,CALLE DE FUENCARRAL NUM 43,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,710.40 m2
CENTRO,PARQUES Y JARDINES,300.022,CALLE DE LA ALAMEDA NUM 12,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. CUBIERTA P.A.R.,463.00 m2
CENTRO,PARQUES Y JARDINES,300.023,RONDA SEGOVIA NUM 57,"DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. FORMA PARTE DEL JARDÍN CATALOGADO ""JARDÍN EN C/ALGECIRAS"", CON PROTECCIÓN NIVEL 3.",2120.00 m2
CENTRO,PARQUES Y JARDINES,300.024,RONDA SEGOVIA NUM 9,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,704.65 m2
CENTRO,PARQUES Y JARDINES,300.025,CALLE DE JERTE NUM 3,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,395.35 m2
CENTRO,PARQUES Y JARDINES,300.026,CALLE DEL MESÓN DE PAREDES NUM 63,DOTACIONAL SERVICIOS COLECTIVOS ZONA VERDE BÁSICO.,1128.38 m2
CENTRO,PARQUES Y JARDINES,300.028,CALLE DE ALGECIRAS NUM 8,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. SOLAR QUE HA PASADO A ZONA VERDE. BAJA FINCA Nº73 DEL INVENTARIO DEL AYUNTAMIENTO DE MADRID.,372.30 m2
CENTRO,PARQUES Y JARDINES,300.029,CALLE DE ALGECIRAS NUM 4-6,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,920.50 m2
CENTRO,PARQUES Y JARDINES,300.03,CALLE DEL ROSARIO C/V C/ DE JERTE,"DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. EN EL INTERIOR DE SU PERÍMETRO SE ENCUENTRAUBICADA LA PISTA DEPORTIVA PARQUE DE LA CORNISA (PISTA DE BALONCESTO, PISTA DE VÓLEY Y FUTBOLEY,PISTA DE BÁDMIN TON Y TENIS DE MESA), SITA EN CALLE DEL ROSARIO, NÚMERO 5.",14193.99 m2
CENTRO,PARQUES Y JARDINES,301.048,AVENIDA DE LA GRAN VIA DE SAN FRANCISCO NUM 19-21,DOTACIONAL SERVICIO COLECTIVOS ZONAS VERDES BÁSICO.,3385.55 m2
CENTRO,PARQUES Y JARDINES,301.077,CALLE DEL CASINO NUM 3 Y 5,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. (LA ZONA NORTE ESTÁ CALIFICADA DE VÍA PÚBLICASEGÚN PGOUM 97).,3098.00 m2
CENTRO,PARQUES Y JARDINES,301.216,CALLE DE EMBAJADORES NUM 66 B,"DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. EN EL INTERIOR DE SU PERÍMETRO SE ENCUENTRAINCLUIDA LA INSTALACIÓN DEPORTIVA BÁSICA PARQUE CASINO DE LA REINA (PISTA POLIDEPORTIVA Y PISTA DEBALONCESTO), SITA EN C/ EMBAJADORES, 66 C/V C/ CASINO, 3, ASÍ COMO UN QUIOSCO DE BEBIDAS.",7343.75 m2
CENTRO,PARQUES Y JARDINES,301.253,CALLE DEL SOMBRERETE NUM 15,"DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. PARCELA NO DADA DE ALTA EN PMS; PARCELAREGULARIZADA POR LA LA DIRECTORA GENERAL DE PATRIMONIO POR CERTIFICACIÓN DE 23 DE MARZO DE 2018,AGRUPACIÓN Y SEGREGACIÓN DE FINCAS.",207.21 m2
CENTRO,PARQUES Y JARDINES,301.255,PLAZA DEL GENERAL VARA DEL REY,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,2379.34 m2
CENTRO,PARQUES Y JARDINES,301.49,CALLE DE LAVAPIÉS NUM 19,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES.,518.29 m2
ARGANZUELA,PARQUES Y JARDINES,300.032,PASEO DE LAS YESERIAS,"DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES SINGULAR. DENTRO DE SU PERIMETRO, PROXIMO AL PASEO DEYESERIAS, SE ENCUENTRA UBICADO UN EVACUATORIO. SE ENCUENTRAN IGUALMENTE UBICADAS DOS CASETAS DEJARDINEROS Y UN CAMPO DE FUTBOL.",108873.35 m2
ARGANZUELA,PARQUES Y JARDINES,300.034,CALLE DEL CONCEJAL BENITO MARTÍN LOZANO NUM 9,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. DENTRO DE SU PERÍMETRO SE ENCUENTRA UBICADA UNACASETA DE PERSONAL Y ALMACÉN DE HERRAMIENTAS.,9141.50 m2
ARGANZUELA,PARQUES Y JARDINES,300.035,CALLE DE SAN ISIDORO DE SEVILLA NUM 15 B,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,3013.50 m2
ARGANZUELA,PARQUES Y JARDINES,300.036,PASEO DE LAS YESERIAS NUM 43-49,"PARCELA COMPUESTA DE TRES FINCAS REGISTRALES. LA 35.219 Y LA 35.225 ESTÁN CALIFICADAS COMO DOTACIONALSERVICIOS COLECTIVOS ZONAS VERDES. LA FINCA REGISTRAL 35.227,CON SUPERFICIE DE 299 METROS CUADRADOS,Nº DE INVENTARIO PMS 3.811 ESTÁ CALIFICADA COMO DOTACIONAL SERVICIOS COLECTIVOS EQUIPAMIENTO BÁSICO;SU DESTINO ACTUAL ES UN PARQUE DE COLUMPIOS.",776.20 m2
ARGANZUELA,PARQUES Y JARDINES,300.037,CALLE DE CARMEN COBEÑA NUM 5 B,"PARCELA NO INVENTARIADA EN PMS, CUYO PERÍMETRO ESTÁ INCLUIDO EN ALINEACIÓN DE VOLUMETRÍA ESPECÍFICA,NORMA ZONA 3.2, SEGÚN PGOUM 97.",176.55 m2
ARGANZUELA,PARQUES Y JARDINES,300.039,CALLE DE EROS NUM 6,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. DENTRO DE SU PERÍMETRO SE HALLA UBICADA LA IDBEROS (PISTA DE FÚTBOL SALA).,6731.00 m2
ARGANZUELA,PARQUES Y JARDINES,300.064,CALLE DE VILLOSLADA NUM 5-11,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. PROTECCIÓN ARQUEOLÓGICA (ZPA TERRAZAS DELMANZANARES - NIVEL B).,2951.00 m2
ARGANZUELA,PARQUES Y JARDINES,300.066,CALLE DEL PUERTO DE BÉJAR C/V C/ DE EMBAJADORES,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,1880.81 m2
ARGANZUELA,PARQUES Y JARDINES,300.068,TRAVESIA DE LOS MELANCÓLICOS,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,2916.41 m2
ARGANZUELA,PARQUES Y JARDINES,300.069,CALLE DE LA ANTRACITA NUM 5,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,828.40 m2
ARGANZUELA,PARQUES Y JARDINES,300.07,CALLE DEL RODIO C/V C/ DEL PLOMO,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,1072.60 m2
ARGANZUELA,PARQUES Y JARDINES,300.071,CALLE DE TITÁN NUM 12,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,4544.00 m2
ARGANZUELA,PARQUES Y JARDINES,300.072,CALLE DEL PLANETA TIERRA NUM 1,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,1890.00 m2
ARGANZUELA,PARQUES Y JARDINES,300.073,CALLE DE TITÁN NUM 11-15,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,10647.00 m2
ARGANZUELA,PARQUES Y JARDINES,300.074,CALLE DEL RODIO C/V C/ DE EMBAJADORES NUM 181,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,6992.00 m2
ARGANZUELA,PARQUES Y JARDINES,300.075,CALLE DEL RODIO NUM 6,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,1520.00 m2
ARGANZUELA,PARQUES Y JARDINES,300.076,CALLE DE LA ANTRACITA NUM 3,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,2131.00 m2
